date,material,material_demand,production_volume,ending_inventory,waste_percent
2025-03-24,Chemical_B,140.64,147.57,303.67,4.81
2025-03-24,Packaging_C,163.34,171.64,571.06,1.6
2025-03-24,Resin_D,100.2,97.39,275.19,2.83
2025-03-25,Pulp_A,271.76,266.92,807.06,3.24
2025-03-25,Chemical_B,113.26,108.32,328.66,1.37
2025-03-25,Packaging_C,192.47,196.15,532.77,3.32
2025-03-25,Resin_D,117.57,117.93,249.31,3.4
2025-03-26,Pulp_A,227.04,229.95,831.82,3.67
2025-03-26,Chemical_B,143.65,150.84,345.45,4.59
2025-03-26,Packaging_C,179.27,171.91,527.76,5.64
2025-03-26,Resin_D,91.57,91.37,276.41,2.28
2025-03-27,Pulp_A,233.09,244.39,839.32,3.7
2025-03-27,Chemical_B,136.69,141.42,299.04,2.36
2025-03-27,Packaging_C,153.18,145.37,541.2,4.41
2025-03-27,Resin_D,104.5,107.99,237.15,1.53
2025-03-28,Pulp_A,224.05,240.65,886.96,3.42
2025-03-28,Chemical_B,126.31,117.08,382.8,4.17
2025-03-28,Packaging_C,169.78,178.45,543.8,5.42
2025-03-28,Resin_D,92.42,94.06,266.01,3.06
2025-03-29,Pulp_A,211.31,220.8,871.37,2.37
2025-03-29,Chemical_B,100.54,103.24,405.65,1.48
2025-03-29,Packaging_C,137.44,139.34,616.19,1.84
2025-03-29,Resin_D,94.48,90.19,290.87,1.48
2025-03-30,Pulp_A,230.64,234.59,865.68,3.73
2025-03-30,Chemical_B,96.62,98.08,344.13,3.48
2025-03-30,Packaging_C,137.93,136.35,603.05,4.59
2025-03-30,Resin_D,93.52,90.14,322.19,1.4
2025-03-31,Pulp_A,239.27,228.81,835.36,2.77
2025-03-31,Chemical_B,123.51,114.96,332.24,5.0
2025-03-31,Packaging_C,171.5,181.93,489.6,4.25
2025-03-31,Resin_D,73.09,71.14,311.26,4.35
2025-04-01,Pulp_A,273.09,271.57,837.39,1.3
2025-04-01,Chemical_B,131.37,124.55,345.53,4.45
2025-04-01,Packaging_C,170.54,159.53,494.12,3.25
2025-04-01,Resin_D,91.97,94.39,313.94,4.98
2025-04-02,Pulp_A,231.61,249.86,860.48,5.64
2025-04-02,Chemical_B,141.19,141.67,337.35,4.12
2025-04-02,Packaging_C,170.88,160.7,521.39,5.13
2025-04-02,Resin_D,113.62,105.19,285.3,2.52
2025-04-03,Pulp_A,236.2,220.62,830.52,5.68
2025-04-03,Chemical_B,95.45,93.87,392.25,3.24
2025-04-03,Packaging_C,173.82,185.48,588.51,3.48
2025-04-03,Resin_D,104.22,102.23,268.31,5.39
2025-04-04,Pulp_A,251.99,263.68,856.05,2.52
2025-04-04,Chemical_B,120.35,114.07,335.75,4.47
2025-04-04,Packaging_C,168.4,172.2,531.37,5.11
2025-04-04,Resin_D,102.6,104.35,292.84,4.82
2025-04-05,Pulp_A,230.11,226.38,837.09,1.73
2025-04-05,Chemical_B,95.82,88.55,374.51,1.68
2025-04-05,Packaging_C,150.81,162.05,562.43,3.16
2025-04-05,Resin_D,85.93,85.09,239.69,1.53
2025-04-06,Pulp_A,211.79,215.84,903.21,4.25
2025-04-06,Chemical_B,101.73,94.54,410.54,5.97
2025-04-06,Packaging_C,152.16,163.94,539.41,2.2
2025-04-06,Resin_D,75.73,78.06,291.71,1.31
2025-04-07,Pulp_A,250.31,262.89,849.77,4.08
2025-04-07,Chemical_B,137.15,137.74,300.73,3.13
2025-04-07,Packaging_C,147.4,144.28,546.98,3.07
2025-04-07,Resin_D,111.02,115.81,282.95,1.06
2025-04-08,Pulp_A,239.22,220.81,796.01,2.3
2025-04-08,Chemical_B,114.67,115.32,370.12,2.08
2025-04-08,Packaging_C,167.64,157.17,546.85,3.74
2025-04-08,Resin_D,120.81,113.04,250.22,3.44
2025-04-09,Pulp_A,241.17,250.33,836.71,3.38
2025-04-09,Chemical_B,102.24,101.58,332.42,4.93
2025-04-09,Packaging_C,157.79,162.54,568.21,3.19
2025-04-09,Resin_D,112.99,104.65,249.81,5.51
2025-04-10,Pulp_A,280.13,287.28,804.72,5.48
2025-04-10,Chemical_B,142.3,132.43,371.74,3.59
2025-04-10,Packaging_C,174.67,175.01,508.38,4.4
2025-04-10,Resin_D,97.29,90.62,282.32,1.06
2025-04-11,Pulp_A,227.51,222.04,848.2,4.87
2025-04-11,Chemical_B,107.02,101.44,381.4,1.49
2025-04-11,Packaging_C,185.5,178.53,532.47,1.1
2025-04-11,Resin_D,117.66,120.01,238.42,2.91
2025-04-12,Pulp_A,224.82,228.96,868.91,4.87
2025-04-12,Chemical_B,111.5,103.33,417.63,5.84
2025-04-12,Packaging_C,140.01,150.76,583.19,4.01
2025-04-12,Resin_D,107.59,112.95,280.11,4.28
2025-04-13,Pulp_A,224.12,239.47,854.9,2.12
2025-04-13,Chemical_B,88.92,88.06,336.92,4.06
2025-04-13,Packaging_C,146.27,155.33,546.81,4.23
2025-04-13,Resin_D,97.5,103.14,262.92,5.23
2025-04-14,Pulp_A,245.01,255.01,862.05,3.3
2025-04-14,Chemical_B,129.88,135.63,363.49,4.28
2025-04-14,Packaging_C,170.24,183.44,497.34,5.69
2025-04-14,Resin_D,108.52,114.03,250.2,2.07
2025-04-15,Pulp_A,266.02,275.93,834.52,3.71
2025-04-15,Chemical_B,126.05,121.97,413.99,3.83
2025-04-15,Packaging_C,178.74,182.64,530.79,4.81
2025-04-15,Resin_D,100.37,92.49,244.03,2.23
2025-04-16,Pulp_A,244.22,255.95,834.51,2.02
2025-04-16,Chemical_B,147.41,150.14,337.46,1.94
2025-04-16,Packaging_C,185.31,186.92,499.45,1.03
2025-04-16,Resin_D,90.59,97.22,300.62,2.84
2025-04-17,Pulp_A,233.96,226.68,855.11,5.38
2025-04-17,Chemical_B,148.17,157.33,316.84,3.97
2025-04-17,Packaging_C,145.99,150.56,509.99,1.02
2025-04-17,Resin_D,79.38,83.12,327.18,1.46
2025-04-18,Pulp_A,238.9,244.34,925.06,1.32
2025-04-18,Chemical_B,145.31,146.72,379.85,4.02
2025-04-18,Packaging_C,182.54,175.81,532.28,5.13
2025-04-18,Resin_D,89.9,83.55,285.01,2.67
2025-04-19,Pulp_A,239.52,250.58,884.36,3.59
2025-04-19,Chemical_B,86.95,84.56,383.21,3.17
2025-04-19,Packaging_C,147.83,150.16,549.12,4.68
2025-04-19,Resin_D,68.71,70.21,352.64,4.93
2025-04-20,Pulp_A,225.57,237.83,850.44,2.92
2025-04-20,Chemical_B,132.24,125.56,381.35,2.81
2025-04-20,Packaging_C,151.08,146.22,504.71,5.7
2025-04-20,Resin_D,76.98,81.57,258.16,5.21
2025-04-21,Pulp_A,254.56,252.86,832.12,3.41
2025-04-21,Chemical_B,121.44,120.22,397.86,4.65
2025-04-21,Packaging_C,157.82,160.61,553.9,1.68
2025-04-21,Resin_D,113.35,121.63,292.33,1.34
2025-04-22,Pulp_A,245.24,235.89,849.67,2.23
2025-04-22,Chemical_B,118.34,114.02,365.84,4.8
2025-04-22,Packaging_C,189.13,175.98,504.09,3.44
2025-04-22,Resin_D,65.37,63.78,331.73,5.5
2025-04-23,Pulp_A,247.62,264.93,865.28,1.26
2025-04-23,Chemical_B,98.18,101.8,363.6,5.91
2025-04-23,Packaging_C,178.53,169.9,490.11,3.83
2025-04-23,Resin_D,108.61,110.5,265.5,2.75
2025-04-24,Pulp_A,235.47,248.68,844.28,3.81
2025-04-24,Chemical_B,106.25,112.37,370.29,4.61
2025-04-24,Packaging_C,169.13,170.31,521.69,1.41
2025-04-24,Resin_D,85.4,80.84,216.56,5.73
2025-04-25,Pulp_A,252.9,251.37,869.7,3.06
2025-04-25,Chemical_B,130.64,121.49,395.8,3.56
2025-04-25,Packaging_C,163.61,151.88,570.76,4.93
2025-04-25,Resin_D,91.66,86.74,263.36,2.65
2025-04-26,Pulp_A,230.05,219.19,910.56,5.39
2025-04-26,Chemical_B,98.83,106.5,337.09,4.86
2025-04-26,Packaging_C,161.46,162.46,536.6,3.49
2025-04-26,Resin_D,87.69,92.21,268.51,2.9
2025-04-27,Pulp_A,229.77,221.94,834.28,4.96
2025-04-27,Chemical_B,131.17,137.42,370.83,2.98
2025-04-27,Packaging_C,149.08,140.93,572.23,4.48
2025-04-27,Resin_D,73.41,77.61,327.34,5.53
