date,planned_units,units_produced,good_units,scrap_units,downtime_minutes,total_inventory_variance,yield_percent,defect_rate,quality_status,throughput,yield_calc,waste_percent,availability,performance,quality,oee
2025-04-05,12481,10843,10492,348.1,307.9,163,97.04,3.32,Pass,10843,96.76,3.21,0.7861805555555554,0.8687605159842962,0.9676288849949276,66.09
2025-04-06,11286,9194,8799,393.5,471.3,60,91.86,4.69,Pass,9194,95.7,4.28,0.6727083333333334,0.8146376041112883,0.9570371981727214,52.45
2025-04-07,12233,10023,9693,329.3,472.2,-15,90.39,2.76,Pass,10023,96.71,3.29,0.6720833333333333,0.8193411264612115,0.9670757258305896,53.25
2025-04-08,11274,9098,8822,274.2,483.7,-167,95.16,4.79,Pass,9098,96.97,3.01,0.6640972222222222,0.806989533439773,0.9696636623433722,51.97
2025-04-09,12167,10495,10222,272.5,368.2,215,92.74,2.07,Hold,10495,97.4,2.6,0.7443055555555556,0.8625791074217145,0.9739876131491186,62.53
2025-04-10,12001,9934,9654,280.5,449.5,-154,97.51,4.97,Review,9934,97.18,2.82,0.6878472222222223,0.8277643529705858,0.9718139722166298,55.33
2025-04-11,11075,9255,8979,278.9,403.7,39,93.05,3.62,Pass,9255,97.02,3.01,0.7196527777777777,0.8356659142212189,0.9701782820097244,58.35
2025-04-12,12556,10177,9899,279.2,467.0,40,97.36,2.71,Pass,10177,97.27,2.74,0.6756944444444445,0.8105288308378464,0.9726835020143461,53.27
2025-04-13,12304,10808,10520,286.4,417.8,124,90.56,3.03,Pass,10808,97.34,2.65,0.7098611111111112,0.8784135240572172,0.9733530717986677,60.69
2025-04-14,12509,9750,9395,354.7,554.8,195,93.42,4.1,Pass,9750,96.36,3.64,0.6147222222222223,0.779438804061076,0.9635897435897436,46.17
2025-04-15,11634,9710,9391,318.9,428.5,-36,91.32,2.62,Review,9710,96.71,3.28,0.7024305555555556,0.8346226577273509,0.9671472708547889,56.7
2025-04-16,12049,10011,9633,376.1,506.0,122,97.38,1.2,Pass,10011,96.22,3.76,0.6486111111111111,0.8308573325587185,0.9622415343122566,51.86
2025-04-17,11704,9877,9551,324.2,387.8,-58,95.6,1.11,Pass,9877,96.7,3.28,0.7306944444444444,0.8438995215311005,0.9669940265262732,59.63
2025-04-18,11928,10151,9882,269.0,423.1,-97,92.21,2.59,Pass,10151,97.35,2.65,0.7061805555555556,0.8510228034875922,0.9735001477686928,58.5
2025-04-19,12064,10022,9715,308.5,477.4,134,97.84,2.28,Pass,10022,96.94,3.08,0.6684722222222222,0.8307360742705571,0.969367391738176,53.83
2025-04-20,12530,10920,10665,253.7,425.7,-2,97.93,4.03,Review,10920,97.66,2.32,0.704375,0.8715083798882681,0.9766483516483516,59.95
2025-04-21,11993,10033,9743,288.5,439.3,39,96.41,3.15,Pass,10033,97.11,2.88,0.6949305555555556,0.8365713332777454,0.9710953852287452,56.46
2025-04-22,12080,10008,9735,271.4,439.2,134,95.75,2.76,Pass,10008,97.27,2.71,0.695,0.828476821192053,0.9727218225419664,56.01
2025-04-23,11717,9608,9279,331.0,485.4,257,92.42,4.56,Pass,9608,96.58,3.45,0.6629166666666667,0.8200051207647009,0.9657577019150708,52.5
2025-04-24,11156,9408,9149,259.7,369.09999999999997,21,95.99,4.8,Pass,9408,97.25,2.76,0.7436805555555556,0.8433130154177124,0.9724702380952381,60.99
2025-04-25,12234,10090,9780,310.2,447.7,-35,97.4,3.29,Pass,10090,96.93,3.07,0.6890972222222221,0.8247506947850254,0.9692765113974232,55.09
2025-04-26,12333,10753,10476,279.0,321.9,112,93.49,3.61,Pass,10753,97.42,2.59,0.7764583333333333,0.8718884294170113,0.9742397470473356,65.95
2025-04-27,11496,9578,9228,353.0,440.0,-24,96.28,3.05,Pass,9578,96.35,3.69,0.6944444444444444,0.8331593597773138,0.9634579244101065,55.74
2025-04-28,11185,9398,9068,329.9,425.2,-43,93.79,3.73,Pass,9398,96.49,3.51,0.7047222222222221,0.8402324541797049,0.9648861459885082,57.13
2025-04-29,12292,10526,10187,339.7,391.4,145,96.84,4.63,Review,10526,96.78,3.23,0.7281944444444444,0.8563293198828507,0.9677940338210146,60.35
2025-04-30,11504,9384,9024,359.9,479.8,139,93.75,4.59,Pass,9384,96.16,3.84,0.6668055555555555,0.8157162726008345,0.9616368286445013,52.31
2025-05-01,12209,10383,10050,331.6,393.2,85,97.15,4.46,Pass,10383,96.79,3.19,0.7269444444444444,0.85043820132689,0.9679283444091303,59.84
2025-05-02,11549,9869,9539,329.5,401.6,-25,90.82,4.62,Pass,9869,96.66,3.34,0.7211111111111111,0.8545328599878778,0.966561961698247,59.56
2025-05-03,12566,10169,9897,270.7,488.8,261,95.34,4.89,Review,10169,97.33,2.66,0.6605555555555556,0.8092471749164412,0.9732520405152916,52.03
2025-05-04,11405,9933,9677,253.0,337.1,173,95.86,1.79,Pass,9933,97.42,2.55,0.7659027777777778,0.8709338009644892,0.9742273230645324,64.99
2025-05-05,11726,9106,8802,303.2,537.0,-14,91.97,1.07,Pass,9106,96.66,3.33,0.6270833333333333,0.776564898516118,0.966615418405447,47.07
2025-05-06,12062,9526,9262,263.3,428.3,8,90.18,1.59,Pass,9526,97.23,2.76,0.7025694444444445,0.7897529431271763,0.9722863741339491,53.95
2025-05-07,11944,10105,9843,260.6,466.7,-127,93.53,1.24,Pass,10105,97.41,2.58,0.6759027777777777,0.8460314802411253,0.9740722414646215,55.7
2025-05-08,12436,10129,9834,295.8,506.8,-134,92.95,3.86,Pass,10129,97.09,2.92,0.6480555555555556,0.8144901897716308,0.9708757034258071,51.25
2025-05-09,12167,10137,9890,245.2,489.8,120,91.22,3.06,Pass,10137,97.56,2.42,0.6598611111111111,0.833155256020383,0.9756338167110585,53.64
2025-05-10,11299,9210,8913,298.4,416.5,-111,90.89,3.53,Pass,9210,96.78,3.24,0.7107638888888889,0.8151163819807062,0.9677524429967427,56.07
2025-05-11,12310,10510,10252,258.6,372.5,-44,92.23,3.93,Pass,10510,97.55,2.46,0.7413194444444444,0.8537774167343624,0.9754519505233111,61.74
2025-05-12,12722,10508,10126,381.1,466.2,16,90.25,2.09,Pass,10508,96.36,3.63,0.67625,0.8259707593145732,0.9636467453368862,53.83
2025-05-13,11626,9963,9636,325.8,410.8,42,90.68,2.33,Review,9963,96.72,3.27,0.7147222222222223,0.8569585412007569,0.9671785606744956,59.24
2025-05-14,12073,10044,9707,338.0,401.9,-52,95.68,2.28,Pass,10044,96.64,3.37,0.7209027777777777,0.8319390375217427,0.966447630426125,57.96
2025-05-15,12339,10890,10610,279.5,440.9,199,95.52,2.06,Pass,10890,97.43,2.57,0.6938194444444444,0.8825674690007294,0.9742883379247016,59.66
2025-05-16,12114,10052,9754,296.5,459.9,52,92.71,2.02,Pass,10052,97.04,2.95,0.680625,0.829783721314182,0.9703541583764425,54.8
2025-05-17,12028,10073,9786,286.5,484.4,144,95.23,1.65,Pass,10073,97.15,2.84,0.6636111111111112,0.8374625872963086,0.9715079916608756,53.99
2025-05-18,11520,9166,8868,298.2,489.7,-151,97.98,3.66,Pass,9166,96.75,3.25,0.6599305555555556,0.7956597222222223,0.967488544621427,50.8
2025-05-19,11741,9500,9194,306.2,397.9,94,95.54,2.84,Pass,9500,96.78,3.22,0.7236805555555554,0.8091303977514692,0.9677894736842105,56.67
2025-05-20,12720,11140,10835,304.7,355.5,70,94.79,4.84,Pass,11140,97.26,2.74,0.753125,0.8757861635220126,0.97262118491921,64.15
2025-05-21,12467,10147,9881,264.9,450.0,-106,94.69,3.64,Pass,10147,97.38,2.61,0.6875,0.813908719018208,0.9737853552774219,54.49
2025-05-22,12123,10493,10222,267.4,431.3,-39,97.8,1.23,Pass,10493,97.42,2.55,0.7004861111111111,0.8655448321372597,0.974173258362718,59.06
2025-05-23,12558,10551,10240,310.6,487.0,-52,91.75,4.04,Pass,10551,97.05,2.94,0.6618055555555555,0.840181557572862,0.9705241209364042,53.96
2025-05-24,11603,9882,9531,349.8,428.6,-20,90.83,4.59,Pass,9882,96.45,3.54,0.7023611111111111,0.8516762906144962,0.9644808743169399,57.69
2025-05-25,12052,10075,9762,312.4,429.0,104,97.85,3.5,Pass,10075,96.89,3.1,0.7020833333333333,0.8359608363757053,0.9689330024813896,56.87
2025-05-26,12919,10977,10617,359.1,427.2,11,97.84,1.71,Pass,10977,96.72,3.27,0.7033333333333333,0.8496787677064789,0.9672041541404756,57.8
2025-05-27,12361,10417,10114,301.5,425.8,-57,97.84,2.45,Pass,10417,97.09,2.89,0.7043055555555556,0.842731170617264,0.9709129307862149,57.63
2025-05-28,12061,10158,9846,311.3,425.1,27,90.04,4.0,Pass,10158,96.93,3.06,0.7047916666666667,0.8422187214990465,0.9692852923803899,57.54
2025-05-29,12142,10209,9908,301.1,427.6,119,90.48,3.9,Pass,10209,97.05,2.95,0.7030555555555555,0.8408005270960303,0.9705162111862082,57.37
2025-05-30,12410,10162,9849,314.2,435.4,55,90.84,1.77,Hold,10162,96.92,3.09,0.6976388888888889,0.8188557614826752,0.9691989765794135,55.37
2025-05-31,12707,10673,10360,312.1,408.3,49,92.28,4.24,Pass,10673,97.07,2.92,0.7164583333333334,0.8399307468324545,0.970673662512883,58.41
2025-06-01,12294,10423,10103,317.2,380.6,-45,92.69,3.48,Hold,10423,96.93,3.04,0.7356944444444445,0.8478119407841224,0.9692986664108222,60.46
2025-06-02,11828,9687,9399,289.4,404.9,-150,95.06,3.98,Pass,9687,97.03,2.99,0.7188194444444443,0.8189888400405817,0.9702694332610715,57.12
2025-06-03,11684,9903,9640,262.7,378.9,-2,91.11,2.47,Pass,9903,97.34,2.65,0.736875,0.8475693255734338,0.9734423911945875,60.8
2025-06-04,13073,11558,11257,302.3,334.8,136,92.25,4.88,Pass,11558,97.4,2.62,0.7675000000000001,0.8841122925112828,0.9739574320816751,66.09
2025-06-05,12394,10650,10362,288.5,373.6,36,91.57,3.06,Review,10650,97.3,2.71,0.7405555555555556,0.8592867516540261,0.9729577464788732,61.91
2025-06-06,12155,10691,10393,300.59999999999997,415.6,-49,92.48,1.25,Pass,10691,97.21,2.81,0.711388888888889,0.8795557383792678,0.9721260873632027,60.83
2025-06-07,11924,9656,9400,256.0,538.3,61,96.28,4.91,Pass,9656,97.35,2.65,0.6261805555555556,0.8097953706809795,0.9734879867439934,49.36
2025-06-08,11887,9950,9630,323.8,435.3,-130,95.74,2.48,Pass,9950,96.78,3.25,0.6977083333333334,0.8370488769243711,0.9678391959798995,56.52
2025-06-09,11461,9616,9367,249.9,439.4,-188,97.06,4.3,Pass,9616,97.41,2.6,0.6948611111111112,0.8390192827850973,0.9741056572379367,56.79
2025-06-10,11611,9352,9051,300.3,469.9,1,95.32,3.32,Review,9352,96.78,3.21,0.6736805555555556,0.805443114288175,0.967814371257485,52.51
2025-06-11,12219,10591,10307,282.4,364.3,106,90.1,3.38,Review,10591,97.32,2.67,0.7470138888888889,0.8667648743759718,0.9731847795297894,63.01
2025-06-12,11998,9913,9636,278.7,511.5,-45,91.99,1.67,Pass,9913,97.21,2.81,0.6447916666666667,0.8262210368394732,0.9720568949863815,51.79
2025-06-13,11966,9977,9677,300.2,456.3,-40,92.08,1.85,Review,9977,96.99,3.01,0.683125,0.833779040615076,0.9699308409341485,55.24
2025-06-14,11366,9640,9329,309.2,422.1,-20,93.74,1.84,Review,9640,96.77,3.21,0.706875,0.8481435861340841,0.9677385892116183,58.02
2025-06-15,11714,9500,9191,311.5,436.0,0,92.35,4.16,Review,9500,96.75,3.28,0.6972222222222222,0.8109953901314666,0.9674736842105263,54.71
2025-06-16,12740,10623,10328,296.4,464.6,-143,91.69,4.61,Pass,10623,97.22,2.79,0.6773611111111111,0.8338304552590267,0.9722300668361104,54.91
2025-06-17,12026,10954,10624,330.2,330.2,-30,90.53,1.54,Pass,10954,96.99,3.01,0.7706944444444445,0.9108598037585232,0.9698740186233339,68.08
2025-06-18,11977,10997,10727,270.8,278.4,-175,94.84,4.69,Pass,10997,97.54,2.46,0.8066666666666666,0.9181765049678551,0.9754478494134764,72.25
2025-06-19,11628,9353,9054,297.1,532.7,164,96.21,4.12,Pass,9353,96.8,3.18,0.6300694444444445,0.8043515651874785,0.9680316475997006,49.06
2025-06-20,11842,9684,9399,284.7,451.3,176,95.4,2.18,Pass,9684,97.06,2.94,0.6865972222222223,0.8177672690423915,0.9705700123915737,54.5
2025-06-21,12185,10125,9824,301.5,492.0,-1,95.83,1.42,Review,10125,97.03,2.98,0.6583333333333333,0.8309396799343455,0.9702716049382716,53.08
2025-06-22,12233,10604,10299,304.3,401.0,51,95.83,2.42,Pass,10604,97.12,2.87,0.7215277777777778,0.8668356085996893,0.9712372689551113,60.75
