date,material,material_demand,production_volume,ending_inventory,waste_percent,month,week,day_of_week,inventory_doh
2025-01-27,Packaging_C,161.81,168.18,517.51,3.92,1,5,0,95.9477164575737
2025-01-27,Resin_D,90.33,87.24,294.71,5.34,1,5,0,97.87778146795084
2025-01-28,Pulp_A,240.63,224.22,859.68,3.77,1,5,1,107.17865602792669
2025-01-28,Chemical_B,112.64,114.97,374.81,4.48,1,5,1,99.8251065340909
2025-01-28,Packaging_C,189.57,192.13,491.25,5.51,1,5,1,77.74173128659598
2025-01-28,Resin_D,125.12,120.66,229.67,1.94,1,5,1,55.067934782608695
2025-01-29,Pulp_A,205.72,208.47,881.14,1.39,1,5,2,128.49601399961114
2025-01-29,Chemical_B,117.7,114.11,404.2,5.07,1,5,2,103.02463891248938
2025-01-29,Packaging_C,144.1,153.57,568.2,5.11,1,5,2,118.29285218598199
2025-01-29,Resin_D,72.77,77.81,348.02,5.33,1,5,2,143.4739590490587
2025-01-30,Pulp_A,255.57,275.49,832.7,1.75,1,5,3,97.74621434440662
2025-01-30,Chemical_B,87.18,93.73,421.67,5.21,1,5,3,145.1032346868548
2025-01-30,Packaging_C,156.16,154.03,574.79,2.37,1,5,3,110.42328381147541
2025-01-30,Resin_D,92.95,96.95,283.22,5.72,1,5,3,91.41043571812803
2025-01-31,Pulp_A,231.42,229.59,884.15,1.65,1,5,4,114.61628208452166
2025-01-31,Chemical_B,114.98,109.99,372.88,4.36,1,5,4,97.28996347190815
2025-01-31,Packaging_C,135.16,126.8,596.78,4.36,1,5,4,132.4607872151524
2025-01-31,Resin_D,116.44,116.82,261.45,5.26,1,5,4,67.36087255238749
2025-02-01,Pulp_A,251.38,266.53,892.5,3.02,2,5,5,106.5120534648739
2025-02-01,Chemical_B,105.15,108.58,404.07,2.06,2,5,5,115.28388017118401
2025-02-01,Packaging_C,156.34,153.65,499.69,3.19,2,5,5,95.88525009594474
2025-02-01,Resin_D,71.43,71.59,321.51,4.92,2,5,5,135.0314993700126
2025-02-02,Pulp_A,245.19,259.4,820.31,5.75,2,5,6,100.36828581916065
2025-02-02,Chemical_B,70.21,69.75,403.4,5.9,2,5,6,172.3686084603333
2025-02-02,Packaging_C,109.75,112.09,588.02,2.2,2,5,6,160.73439635535308
2025-02-02,Resin_D,81.26,77.12,270.24,2.73,2,5,6,99.76864385921732
2025-02-03,Pulp_A,238.11,244.49,885.77,1.86,2,6,0,111.60010079375078
2025-02-03,Chemical_B,106.09,100.61,349.08,1.44,2,6,0,98.71241398812329
2025-02-03,Packaging_C,157.44,150.05,516.68,2.82,2,6,0,98.45274390243901
2025-02-03,Resin_D,123.52,114.41,252.36,5.0,2,6,0,61.29209844559587
2025-02-04,Pulp_A,228.84,242.52,876.51,5.6,2,6,1,114.9069218668065
2025-02-04,Chemical_B,112.65,118.17,356.83,4.74,2,6,1,95.02796271637816
2025-02-04,Packaging_C,151.38,148.24,534.23,3.42,2,6,1,105.87197780420135
2025-02-04,Resin_D,71.61,71.18,337.57,4.74,2,6,1,141.4201927105153
2025-02-05,Pulp_A,248.26,248.73,859.52,3.66,2,6,2,103.86530250543785
2025-02-05,Chemical_B,112.7,113.29,338.41,2.21,2,6,2,90.08251996450754
2025-02-05,Packaging_C,148.27,136.89,516.17,2.61,2,6,2,104.43852431375191
2025-02-05,Resin_D,84.92,79.75,263.04,5.45,2,6,2,92.9251059821008
2025-02-06,Pulp_A,265.2,277.47,856.84,3.49,2,6,3,96.92760180995475
2025-02-06,Chemical_B,116.06,117.67,337.41,4.73,2,6,3,87.21609512321213
2025-02-06,Packaging_C,144.34,139.34,550.91,2.82,2,6,3,114.50256339199112
2025-02-06,Resin_D,108.79,106.28,313.95,5.93,2,6,3,86.57505285412262
2025-02-07,Pulp_A,219.19,205.23,894.88,1.76,2,6,4,122.48004014781696
2025-02-07,Chemical_B,105.41,100.12,357.41,2.43,2,6,4,101.719950668817
2025-02-07,Packaging_C,160.9,158.59,518.33,5.91,2,6,4,96.64325668116844
2025-02-07,Resin_D,91.59,98.46,260.73,5.33,2,6,4,85.40124467736653
2025-02-08,Pulp_A,213.79,202.53,905.1,4.34,2,6,5,127.00781140371393
2025-02-08,Chemical_B,98.93,100.06,394.85,2.4,2,6,5,119.7361770949156
2025-02-08,Packaging_C,132.5,128.76,581.76,3.13,2,6,5,131.71924528301886
2025-02-08,Resin_D,53.03,49.76,323.17,4.05,2,6,5,182.82293041674524
2025-02-09,Pulp_A,232.29,219.44,826.17,3.41,2,6,6,106.6989538938396
2025-02-09,Chemical_B,87.93,85.63,388.25,1.67,2,6,6,132.4633230979188
2025-02-09,Packaging_C,157.8,151.61,527.77,4.41,2,6,6,100.33650190114066
2025-02-09,Resin_D,85.66,85.27,325.38,3.06,2,6,6,113.9551716086855
2025-02-10,Pulp_A,249.63,262.83,845.3,5.83,2,7,0,101.58634779473621
2025-02-10,Chemical_B,121.54,130.06,338.36,1.91,2,7,0,83.51818331413526
2025-02-10,Packaging_C,162.27,164.21,533.84,5.21,2,7,0,98.69476797929376
2025-02-10,Resin_D,101.04,96.21,263.67,1.82,2,7,0,78.28681710213776
2025-02-11,Pulp_A,247.15,253.68,842.33,3.62,2,7,1,102.24519522557152
2025-02-11,Chemical_B,129.3,127.07,337.55,5.08,2,7,1,78.31786542923433
2025-02-11,Packaging_C,130.66,129.88,544.14,2.51,2,7,1,124.93647635083423
2025-02-11,Resin_D,96.51,92.37,320.4,5.5,2,7,1,99.59589679825923
2025-02-12,Pulp_A,253.93,270.44,790.79,4.12,2,7,2,93.42614106249752
2025-02-12,Chemical_B,94.31,88.87,409.28,4.97,2,7,2,130.19192026296255
2025-02-12,Packaging_C,170.98,181.76,585.79,4.94,2,7,2,102.78219674815769
2025-02-12,Resin_D,89.6,85.99,264.16,4.72,2,7,2,88.44642857142858
2025-02-13,Pulp_A,242.81,253.01,845.24,5.38,2,7,3,104.43227214694616
2025-02-13,Chemical_B,132.3,124.06,329.95,5.23,2,7,3,74.81859410430839
2025-02-13,Packaging_C,157.69,165.19,517.84,1.75,2,7,3,98.51734415625596
2025-02-13,Resin_D,108.1,111.9,243.85,4.21,2,7,3,67.67345050878816
2025-02-14,Pulp_A,248.19,238.33,898.73,2.73,2,7,4,108.63411096337484
2025-02-14,Chemical_B,90.31,89.76,422.09,5.74,2,7,4,140.21370833794705
2025-02-14,Packaging_C,166.19,166.35,505.67,4.06,2,7,4,91.28166556351165
2025-02-14,Resin_D,98.63,101.73,294.51,5.61,2,7,4,89.58024941701308
2025-02-15,Pulp_A,212.38,214.97,899.41,4.03,2,7,5,127.04727375459082
2025-02-15,Chemical_B,123.13,131.69,339.09,5.63,2,7,5,82.61755867782018
2025-02-15,Packaging_C,129.39,139.43,567.47,5.19,2,7,5,131.57199165314168
2025-02-15,Resin_D,80.07,81.24,322.29,3.0,2,7,5,120.75309104533535
2025-02-16,Pulp_A,222.1,232.87,867.23,1.02,2,7,6,117.14047726249437
2025-02-16,Chemical_B,84.29,84.8,349.34,5.6,2,7,6,124.33503381184006
2025-02-16,Packaging_C,125.12,129.88,542.5,3.26,2,7,6,130.07512787723786
2025-02-16,Resin_D,75.58,71.24,261.84,1.88,2,7,6,103.93225721090234
2025-02-17,Pulp_A,202.26,215.68,896.39,2.81,2,8,0,132.9560961139128
2025-02-17,Chemical_B,145.44,134.11,357.72,4.32,2,8,0,73.7871287128713
2025-02-17,Packaging_C,158.68,148.15,513.66,5.98,2,8,0,97.11242752709856
2025-02-17,Resin_D,136.31,126.87,240.17,4.75,2,8,0,52.858190888416104
2025-02-18,Pulp_A,245.91,234.31,850.48,1.95,2,8,1,103.75503232890082
2025-02-18,Chemical_B,117.45,118.67,343.97,1.33,2,8,1,87.8595146871009
2025-02-18,Packaging_C,159.11,159.74,578.49,3.2,2,8,1,109.07359688265979
2025-02-18,Resin_D,116.63,110.2,206.53,1.91,2,8,1,53.12441052902341
2025-02-19,Pulp_A,222.05,227.17,858.5,3.04,2,8,2,115.98739022742625
2025-02-19,Chemical_B,132.2,122.2,374.59,2.11,2,8,2,85.0052950075643
2025-02-19,Packaging_C,173.99,160.62,497.78,1.52,2,8,2,85.82907063624346
2025-02-19,Resin_D,90.3,92.51,296.94,2.19,2,8,2,98.65116279069768
2025-02-20,Pulp_A,239.78,248.31,850.85,5.28,2,8,3,106.45383267995663
2025-02-20,Chemical_B,112.97,116.01,391.01,2.02,2,8,3,103.83553155705054
2025-02-20,Packaging_C,172.28,158.86,519.98,1.43,2,8,3,90.54678430462039
2025-02-20,Resin_D,103.28,101.98,240.44,5.46,2,8,3,69.84120836560805
2025-02-21,Pulp_A,235.77,226.69,890.46,2.9,2,8,4,113.30449166560632
2025-02-21,Chemical_B,95.26,97.15,394.89,3.05,2,8,4,124.3617467982364
2025-02-21,Packaging_C,132.38,128.02,610.03,5.74,2,8,4,138.24520320290074
2025-02-21,Resin_D,90.43,95.76,294.55,3.44,2,8,4,97.71646577463231
2025-02-22,Pulp_A,227.53,224.81,876.23,1.11,2,8,5,115.53157825341714
2025-02-22,Chemical_B,105.44,107.69,326.81,2.29,2,8,5,92.98463581183613
2025-02-22,Packaging_C,148.38,159.88,547.02,3.63,2,8,5,110.59846340477154
2025-02-22,Resin_D,72.72,67.12,282.82,5.57,2,8,5,116.67491749174917
2025-02-23,Pulp_A,228.96,220.69,846.58,3.77,2,8,6,110.92505241090146
2025-02-23,Chemical_B,116.46,110.99,370.35,1.05,2,8,6,95.40185471406492
2025-02-23,Packaging_C,149.87,152.28,574.7,4.33,2,8,6,115.03970107426437
2025-02-23,Resin_D,53.41,53.58,289.6,1.23,2,8,6,162.66616738438495
2025-02-24,Pulp_A,252.0,235.17,829.86,4.02,2,9,0,98.79285714285714
2025-02-24,Chemical_B,110.06,106.34,329.78,2.78,2,9,0,89.89096856260221
2025-02-24,Packaging_C,149.59,151.18,576.75,3.38,2,9,0,115.66615415468948
2025-02-24,Resin_D,106.63,110.6,272.99,2.07,2,9,0,76.80483916346245
2025-02-25,Pulp_A,235.79,235.66,867.26,3.98,2,9,1,110.34310191271895
2025-02-25,Chemical_B,136.67,128.07,320.75,1.38,2,9,1,70.40681934586962
2025-02-25,Packaging_C,163.9,168.85,580.37,3.17,2,9,1,106.23001830384379
2025-02-25,Resin_D,110.05,115.32,250.89,4.47,2,9,1,68.3934575193094
2025-02-26,Pulp_A,253.95,248.3,806.79,1.46,2,9,2,95.30891907855877
2025-02-26,Chemical_B,118.51,112.54,372.01,3.71,2,9,2,94.17179984811408
2025-02-26,Packaging_C,170.33,178.68,544.94,4.29,2,9,2,95.9795690718018
2025-02-26,Resin_D,112.13,107.64,274.35,3.45,2,9,2,73.40140907874789
2025-02-27,Pulp_A,251.26,238.42,853.94,3.84,2,9,3,101.95892700788029
2025-02-27,Chemical_B,103.6,110.63,397.73,5.86,2,9,3,115.17277992277994
2025-02-27,Packaging_C,164.22,173.73,552.82,5.22,2,9,3,100.99013518450859
2025-02-27,Resin_D,113.89,105.45,248.21,3.98,2,9,3,65.38150847308806
2025-02-28,Pulp_A,238.48,222.34,853.79,4.48,2,9,4,107.4039751761154
2025-02-28,Chemical_B,138.83,129.18,313.8,2.58,2,9,4,67.80955124972988
2025-02-28,Packaging_C,186.7,181.29,518.21,4.13,2,9,4,83.2688805570434
2025-02-28,Resin_D,104.0,99.56,293.24,1.12,2,9,4,84.58846153846154
2025-03-01,Pulp_A,228.41,244.46,898.23,4.99,3,9,5,117.97600805568933
2025-03-01,Chemical_B,94.42,94.11,415.82,4.14,3,9,5,132.11819529760643
2025-03-01,Packaging_C,140.49,138.72,595.84,4.69,3,9,5,127.23467862481314
2025-03-01,Resin_D,75.87,74.11,292.08,2.44,3,9,5,115.49228944246735
2025-03-02,Pulp_A,212.29,196.73,868.52,1.09,3,9,6,122.7358801639267
2025-03-02,Chemical_B,101.83,99.94,379.03,4.4,3,9,6,111.6655209663164
2025-03-02,Packaging_C,162.11,173.65,532.54,3.34,3,9,6,98.5516007649127
2025-03-02,Resin_D,65.51,70.66,319.05,2.16,3,9,6,146.10746450923523
2025-03-03,Pulp_A,248.01,252.29,864.3,3.56,3,10,0,104.54820370146365
2025-03-03,Chemical_B,110.95,105.99,350.77,1.93,3,10,0,94.84542586750788
2025-03-03,Packaging_C,155.96,144.92,573.77,5.85,3,10,0,110.36868427802
2025-03-03,Resin_D,121.83,125.65,238.91,1.77,3,10,0,58.830337355331196
2025-03-04,Pulp_A,237.4,226.91,878.43,3.68,3,10,1,111.00631844987363
2025-03-04,Chemical_B,143.89,134.49,376.0,5.39,3,10,1,78.39321704079505
2025-03-04,Packaging_C,156.49,166.22,533.82,5.78,3,10,1,102.33625151766886
2025-03-04,Resin_D,104.97,107.58,278.39,3.75,3,10,1,79.56273220920262
2025-03-05,Pulp_A,243.19,238.23,836.86,2.3,3,10,2,103.23533040009869
2025-03-05,Chemical_B,120.34,112.28,399.52,2.1,3,10,2,99.5978062157221
2025-03-05,Packaging_C,158.08,166.96,547.52,3.48,3,10,2,103.90688259109311
2025-03-05,Resin_D,138.74,145.95,222.98,2.74,3,10,2,48.215366873288154
2025-03-06,Pulp_A,256.22,246.67,889.95,5.39,3,10,3,104.20146748887673
2025-03-06,Chemical_B,129.85,137.14,372.87,5.34,3,10,3,86.1463226800154
2025-03-06,Packaging_C,178.3,183.93,534.38,4.4,3,10,3,89.9125070106562
2025-03-06,Resin_D,121.73,115.08,269.49,5.4,3,10,3,66.41501684054876
2025-03-07,Pulp_A,243.63,237.21,860.03,4.72,3,10,4,105.90198251446866
2025-03-07,Chemical_B,126.67,133.4,338.5,3.54,3,10,4,80.16894292255468
2025-03-07,Packaging_C,169.01,172.57,532.15,2.3,3,10,4,94.45890775693745
2025-03-07,Resin_D,110.82,115.78,318.26,1.53,3,10,4,86.15592853275582
2025-03-08,Pulp_A,232.02,249.21,907.41,2.71,3,10,5,117.32738557020946
2025-03-08,Chemical_B,112.4,105.25,367.26,5.69,3,10,5,98.02313167259786
2025-03-08,Packaging_C,141.59,137.08,563.27,4.54,3,10,5,119.34529274666289
2025-03-08,Resin_D,85.28,83.17,272.22,4.1,3,10,5,95.76219512195122
2025-03-09,Pulp_A,220.04,229.13,889.39,1.12,3,10,6,121.25840756226141
2025-03-09,Chemical_B,126.9,130.62,346.45,3.23,3,10,6,81.90307328605199
2025-03-09,Packaging_C,126.7,119.88,518.33,4.97,3,10,6,122.73007103393844
2025-03-09,Resin_D,68.1,63.55,324.61,4.4,3,10,6,143.0
2025-03-10,Pulp_A,227.35,243.75,894.47,1.76,3,11,0,118.02990983065759
2025-03-10,Chemical_B,131.3,129.62,341.22,4.19,3,11,0,77.96344249809596
2025-03-10,Packaging_C,143.67,154.79,539.03,3.05,3,11,0,112.55585717268741
2025-03-10,Resin_D,97.93,93.44,285.87,1.16,3,11,0,87.57377718778719
2025-03-11,Pulp_A,227.9,241.19,908.19,3.37,3,11,1,119.55111891180343
2025-03-11,Chemical_B,126.82,132.31,359.6,5.22,3,11,1,85.0654470903643
2025-03-11,Packaging_C,176.32,165.91,556.91,1.16,3,11,1,94.75555807622504
2025-03-11,Resin_D,104.62,109.59,288.1,3.41,3,11,1,82.61326706174728
2025-03-12,Pulp_A,236.65,225.31,908.37,3.46,3,11,2,115.15360236636383
2025-03-12,Chemical_B,123.72,119.15,334.26,4.99,3,11,2,81.05237633365665
2025-03-12,Packaging_C,160.1,147.59,492.66,1.36,3,11,2,92.316052467208
2025-03-12,Resin_D,95.01,96.53,219.39,2.46,3,11,2,69.27376065677296
2025-03-13,Pulp_A,258.7,270.28,851.94,1.2,3,11,3,98.79474294549672
2025-03-13,Chemical_B,107.41,102.97,366.4,5.93,3,11,3,102.33684014523787
2025-03-13,Packaging_C,166.86,170.01,504.18,4.51,3,11,3,90.64724919093851
2025-03-13,Resin_D,98.6,95.86,277.07,3.59,3,11,3,84.30121703853955
2025-03-14,Pulp_A,243.31,225.14,839.64,1.39,3,11,4,103.5271875385311
2025-03-14,Chemical_B,107.0,108.15,360.98,4.45,3,11,4,101.20934579439252
2025-03-14,Packaging_C,158.45,150.02,555.86,1.52,3,11,4,105.24329441464185
2025-03-14,Resin_D,123.01,113.79,275.1,5.68,3,11,4,67.09210633281847
2025-03-15,Pulp_A,230.02,237.71,853.81,5.35,3,11,5,111.35683853577949
2025-03-15,Chemical_B,117.55,114.53,373.33,5.07,3,11,5,95.27775414717141
2025-03-15,Packaging_C,168.89,167.6,536.05,4.22,3,11,5,95.21878145538517
2025-03-15,Resin_D,110.16,102.79,269.78,1.3,3,11,5,73.46949891067538
2025-03-16,Pulp_A,219.45,232.51,868.45,2.1,3,11,6,118.72180451127821
2025-03-16,Chemical_B,112.07,114.91,348.59,3.49,3,11,6,93.31400017845989
2025-03-16,Packaging_C,175.14,167.53,535.77,5.98,3,11,6,91.77286742034944
2025-03-16,Resin_D,84.79,80.72,293.21,4.4,3,11,6,103.74218657860595
2025-03-17,Pulp_A,243.45,257.8,814.83,4.64,3,12,0,100.41035120147875
2025-03-17,Chemical_B,115.07,112.23,399.28,2.86,3,12,0,104.0966368297558
2025-03-17,Packaging_C,170.68,169.01,555.5,4.63,3,12,0,97.63885633934848
2025-03-17,Resin_D,118.5,126.09,255.54,3.11,3,12,0,64.69367088607595
2025-03-18,Pulp_A,257.19,274.15,803.4,2.05,3,12,1,93.71281931645865
2025-03-18,Chemical_B,144.55,149.94,364.95,1.66,3,12,1,75.74195780006917
2025-03-18,Packaging_C,174.81,165.85,531.71,2.19,3,12,1,91.24935644413935
2025-03-18,Resin_D,102.02,97.89,302.3,5.35,3,12,1,88.89433444422663
2025-03-19,Pulp_A,259.06,253.22,769.73,3.96,3,12,2,89.13726549834016
2025-03-19,Chemical_B,117.05,125.84,329.96,2.29,3,12,2,84.56898761213156
2025-03-19,Packaging_C,148.06,154.54,580.96,1.65,3,12,2,117.71444009185466
2025-03-19,Resin_D,101.78,97.48,285.15,1.37,3,12,2,84.04892906268422
2025-03-20,Pulp_A,248.71,242.22,819.22,5.14,3,12,3,98.81629206706607
2025-03-20,Chemical_B,99.21,101.07,365.09,4.53,3,12,3,110.39915331115814
2025-03-20,Packaging_C,162.33,150.29,528.94,4.68,3,12,3,97.75272592866384
2025-03-20,Resin_D,97.73,103.11,329.19,5.03,3,12,3,101.05085439476107
2025-03-21,Pulp_A,263.08,250.7,842.89,1.56,3,12,4,96.1179109016269
2025-03-21,Chemical_B,121.55,122.16,352.52,5.68,3,12,4,87.00617030028793
