job_id,date,machine,shift,planned_units,units_produced,good_units,scrap_units,downtime_minutes
JOB1028,2025-01-03,Line_2,B,924,746,726,19.2,44.9
JOB1029,2025-01-03,Line_2,C,1014,891,854,36.9,41.1
JOB1030,2025-01-03,Line_3,A,859,649,601,47.2,37.6
JOB1031,2025-01-03,Line_3,B,1044,646,624,21.7,64.5
JOB1032,2025-01-03,Line_3,C,1007,835,813,21.7,30.5
JOB1033,2025-01-03,Line_4,A,905,750,746,3.7,65.1
JOB1034,2025-01-03,Line_4,B,987,736,706,29.1,46.0
JOB1035,2025-01-03,Line_4,C,1116,900,867,33.7,41.4
JOB1036,2025-01-04,Line_1,A,1086,1002,967,35.5,39.5
JOB1037,2025-01-04,Line_1,B,1184,1009,965,43.5,45.2
JOB1038,2025-01-04,Line_1,C,842,699,673,25.3,48.6
JOB1039,2025-01-04,Line_2,A,800,744,719,25.2,22.2
JOB1040,2025-01-04,Line_2,B,913,804,773,31.7,19.4
JOB1041,2025-01-04,Line_2,C,977,942,930,12.0,5.4
JOB1042,2025-01-04,Line_3,A,1125,849,822,27.4,54.7
JOB1043,2025-01-04,Line_3,B,1077,780,748,31.7,48.2
JOB1044,2025-01-04,Line_3,C,846,763,738,25.0,13.6
JOB1045,2025-01-04,Line_4,A,884,646,631,15.4,45.7
JOB1046,2025-01-04,Line_4,B,1029,825,807,17.9,45.6
JOB1047,2025-01-04,Line_4,C,1154,990,967,22.7,46.6
JOB1048,2025-01-05,Line_1,A,1080,981,969,11.9,22.7
JOB1049,2025-01-05,Line_1,B,1027,758,721,36.8,49.3
JOB1050,2025-01-05,Line_1,C,964,965,936,28.6,12.8
JOB1051,2025-01-05,Line_2,A,893,569,532,36.4,71.3
JOB1052,2025-01-05,Line_2,B,872,792,763,28.8,8.5
JOB1053,2025-01-05,Line_2,C,1113,937,906,31.6,51.2
JOB1054,2025-01-05,Line_3,A,1044,781,747,34.5,59.7
JOB1055,2025-01-05,Line_3,B,942,554,526,28.9,77.3
JOB1056,2025-01-05,Line_3,C,1050,907,872,35.0,40.7
JOB1057,2025-01-05,Line_4,A,858,693,667,25.4,33.5
JOB1058,2025-01-05,Line_4,B,1088,976,961,15.6,31.1
JOB1059,2025-01-05,Line_4,C,863,817,815,2.5,31.3
JOB1060,2025-01-06,Line_1,A,1142,1050,1031,19.4,25.9
JOB1061,2025-01-06,Line_1,B,1109,870,837,33.6,55.2
JOB1062,2025-01-06,Line_1,C,848,752,743,9.0,25.2
JOB1063,2025-01-06,Line_2,A,1175,1094,1076,18.4,11.2
JOB1064,2025-01-06,Line_2,B,921,656,634,22.6,41.6
JOB1065,2025-01-06,Line_2,C,990,724,683,41.1,41.2
JOB1066,2025-01-06,Line_3,A,1099,985,972,12.7,34.5
JOB1067,2025-01-06,Line_3,B,1164,914,882,32.3,52.1
JOB1068,2025-01-06,Line_3,C,1028,925,904,21.2,27.5
JOB1069,2025-01-06,Line_4,A,888,739,707,31.2,35.1
JOB1070,2025-01-06,Line_4,B,1127,1054,1032,22.2,25.5
JOB1071,2025-01-06,Line_4,C,1185,1172,1140,31.9,3.7
JOB1072,2025-01-07,Line_1,A,867,747,732,15.0,31.9
JOB1073,2025-01-07,Line_1,B,951,869,842,27.0,0.0
JOB1074,2025-01-07,Line_1,C,872,762,726,36.2,39.0
JOB1075,2025-01-07,Line_2,A,1009,984,979,5.3,3.6
JOB1076,2025-01-07,Line_2,B,809,691,668,23.3,31.2
JOB1077,2025-01-07,Line_2,C,1107,795,782,12.9,48.8
JOB1078,2025-01-07,Line_3,A,1180,1016,981,35.4,50.4
JOB1079,2025-01-07,Line_3,B,1021,825,807,17.3,36.7
JOB1080,2025-01-07,Line_3,C,1126,994,963,31.7,37.0
JOB1081,2025-01-07,Line_4,A,1150,943,915,28.0,56.2
JOB1082,2025-01-07,Line_4,B,1061,982,969,12.9,20.3
JOB1083,2025-01-07,Line_4,C,991,672,646,25.9,48.0
JOB1084,2025-01-08,Line_1,A,877,755,732,22.3,19.2
JOB1085,2025-01-08,Line_1,B,1010,847,819,28.1,50.7
JOB1086,2025-01-08,Line_1,C,1155,1128,1096,31.9,6.4
JOB1087,2025-01-08,Line_2,A,1122,894,893,1.1,47.9
JOB1088,2025-01-08,Line_2,B,898,664,638,26.5,40.4
JOB1089,2025-01-08,Line_2,C,964,724,702,21.6,37.2
JOB1090,2025-01-08,Line_3,A,1133,1018,977,40.4,30.6
JOB1091,2025-01-08,Line_3,B,1030,881,864,17.4,28.5
JOB1092,2025-01-08,Line_3,C,837,745,716,29.4,30.1
JOB1093,2025-01-08,Line_4,A,1179,1034,1003,31.1,35.8
JOB1094,2025-01-08,Line_4,B,1148,1072,1057,15.2,21.0
JOB1095,2025-01-08,Line_4,C,1069,984,962,22.4,28.5
JOB1096,2025-01-09,Line_1,A,1034,851,832,18.7,43.1
JOB1097,2025-01-09,Line_1,B,1039,799,763,35.8,36.3
JOB1098,2025-01-09,Line_1,C,997,769,743,26.4,29.2
JOB1099,2025-01-09,Line_2,A,847,701,657,43.9,34.1
JOB1100,2025-01-09,Line_2,B,864,767,739,28.4,58.3
JOB1101,2025-01-09,Line_2,C,957,772,740,31.8,17.1
JOB1102,2025-01-09,Line_3,A,1189,1024,1022,2.3,34.7
JOB1103,2025-01-09,Line_3,B,944,835,813,21.7,31.2
JOB1104,2025-01-09,Line_3,C,930,878,854,23.1,31.9
JOB1105,2025-01-09,Line_4,A,938,885,863,21.8,14.1
JOB1106,2025-01-09,Line_4,B,887,772,760,11.8,28.5
JOB1107,2025-01-09,Line_4,C,1013,879,848,31.0,27.1
JOB1108,2025-01-10,Line_1,A,958,710,695,15.7,35.5
JOB1109,2025-01-10,Line_1,B,1026,1103,1080,22.4,1.4
JOB1110,2025-01-10,Line_1,C,836,674,639,34.9,39.0
JOB1111,2025-01-10,Line_2,A,955,773,747,26.4,53.7
JOB1112,2025-01-10,Line_2,B,965,789,761,28.2,37.3
JOB1113,2025-01-10,Line_2,C,871,751,723,27.6,23.4
JOB1114,2025-01-10,Line_3,A,994,904,879,25.2,11.3
JOB1115,2025-01-10,Line_3,B,860,477,440,37.0,71.0
JOB1116,2025-01-10,Line_3,C,879,697,658,38.8,34.6
JOB1117,2025-01-10,Line_4,A,1074,871,861,10.3,72.0
JOB1118,2025-01-10,Line_4,B,853,784,755,28.6,4.1
JOB1119,2025-01-10,Line_4,C,1110,968,941,26.6,13.5
JOB1120,2025-01-11,Line_1,A,980,886,849,37.4,20.8
JOB1121,2025-01-11,Line_1,B,1090,945,922,22.2,57.1
JOB1122,2025-01-11,Line_1,C,866,745,717,28.3,23.2
JOB1123,2025-01-11,Line_2,A,1069,990,959,31.2,18.9
JOB1124,2025-01-11,Line_2,B,1028,823,792,31.7,36.7
JOB1125,2025-01-11,Line_2,C,1046,944,924,20.2,8.0
JOB1126,2025-01-11,Line_3,A,1077,870,859,11.0,47.8
JOB1127,2025-01-11,Line_3,B,854,763,728,35.2,7.6
JOB1128,2025-01-11,Line_3,C,958,857,811,45.9,35.7
JOB1129,2025-01-11,Line_4,A,876,686,665,21.1,34.4
JOB1130,2025-01-11,Line_4,B,886,825,795,29.3,17.5
JOB1131,2025-01-11,Line_4,C,895,764,750,14.0,49.3
JOB1132,2025-01-12,Line_1,A,1047,790,775,15.3,39.6
JOB1133,2025-01-12,Line_1,B,930,888,850,37.7,20.7
JOB1134,2025-01-12,Line_1,C,1041,698,652,45.9,57.1
JOB1135,2025-01-12,Line_2,A,926,716,689,27.3,47.7
JOB1136,2025-01-12,Line_2,B,884,834,821,12.6,24.2
JOB1137,2025-01-12,Line_2,C,1037,849,827,22.5,27.3
JOB1138,2025-01-12,Line_3,A,883,720,700,20.5,39.6
JOB1139,2025-01-12,Line_3,B,920,809,775,34.0,72.0
JOB1140,2025-01-12,Line_3,C,909,814,779,34.8,21.1
JOB1141,2025-01-12,Line_4,A,831,677,649,27.6,35.0
JOB1142,2025-01-12,Line_4,B,983,824,796,27.9,43.0
JOB1143,2025-01-12,Line_4,C,1135,1035,996,38.9,13.4
JOB1144,2025-01-13,Line_1,A,804,667,633,34.4,44.7
JOB1145,2025-01-13,Line_1,B,1172,1140,1109,30.6,13.0
JOB1146,2025-01-13,Line_1,C,934,932,908,24.0,6.5
JOB1147,2025-01-13,Line_2,A,828,651,627,23.1,57.1
JOB1148,2025-01-13,Line_2,B,968,926,911,15.0,19.6
JOB1149,2025-01-13,Line_2,C,828,790,768,22.2,28.5
JOB1150,2025-01-13,Line_3,A,866,602,589,13.1,37.9
JOB1151,2025-01-13,Line_3,B,1008,870,855,14.8,24.3
JOB1152,2025-01-13,Line_3,C,1175,870,846,24.0,58.5
JOB1153,2025-01-13,Line_4,A,840,679,658,20.8,33.6
JOB1154,2025-01-13,Line_4,B,880,653,621,32.6,55.4
JOB1155,2025-01-13,Line_4,C,1132,941,915,26.6,44.2
JOB1156,2025-01-14,Line_1,A,1027,1041,1008,32.6,28.4
JOB1157,2025-01-14,Line_1,B,1095,845,836,9.9,49.9
JOB1158,2025-01-14,Line_1,C,1034,734,701,32.4,65.7
JOB1159,2025-01-14,Line_2,A,1138,877,836,40.8,58.0
JOB1160,2025-01-14,Line_2,B,852,680,661,18.8,22.7
JOB1161,2025-01-14,Line_2,C,869,667,642,24.6,37.1
JOB1162,2025-01-14,Line_3,A,818,670,628,41.9,48.4
JOB1163,2025-01-14,Line_3,B,987,910,883,27.3,23.5
JOB1164,2025-01-14,Line_3,C,827,770,742,27.8,13.8
JOB1165,2025-01-14,Line_4,A,1080,981,967,14.4,29.1
JOB1166,2025-01-14,Line_4,B,1054,994,964,30.5,7.4
JOB1167,2025-01-14,Line_4,C,915,833,816,17.1,28.8
JOB1168,2025-01-15,Line_1,A,847,657,625,32.3,47.6
JOB1169,2025-01-15,Line_1,B,1027,744,720,23.5,33.1
JOB1170,2025-01-15,Line_1,C,1052,1057,1030,26.2,17.6
JOB1171,2025-01-15,Line_2,A,1026,893,859,33.5,44.3
JOB1172,2025-01-15,Line_2,B,943,849,834,15.0,31.2
JOB1173,2025-01-15,Line_2,C,1147,1098,1082,15.8,7.5
JOB1174,2025-01-15,Line_3,A,1156,878,851,26.9,67.3
JOB1175,2025-01-15,Line_3,B,1025,908,866,42.1,23.7
JOB1176,2025-01-15,Line_3,C,834,648,633,15.2,30.3
JOB1177,2025-01-15,Line_4,A,965,775,744,31.1,30.5
JOB1178,2025-01-15,Line_4,B,1119,858,841,17.7,52.4
JOB1179,2025-01-15,Line_4,C,910,748,727,21.4,33.2
JOB1180,2025-01-16,Line_1,A,1160,1083,1058,25.4,30.9
JOB1181,2025-01-16,Line_1,B,1019,815,800,14.0,30.3
JOB1182,2025-01-16,Line_1,C,934,643,607,35.3,59.7
JOB1183,2025-01-16,Line_2,A,1020,1059,1046,12.9,6.4
JOB1184,2025-01-16,Line_2,B,965,848,825,22.4,28.1
JOB1185,2025-01-16,Line_2,C,1006,604,596,8.6,86.3
JOB1186,2025-01-16,Line_3,A,1046,854,844,10.2,38.7
JOB1187,2025-01-16,Line_3,B,896,921,903,18.7,3.1
JOB1188,2025-01-16,Line_3,C,1042,914,877,37.0,14.9
JOB1189,2025-01-16,Line_4,A,934,816,803,13.8,50.8
JOB1190,2025-01-16,Line_4,B,1034,958,944,13.6,20.6
JOB1191,2025-01-16,Line_4,C,1169,1060,1030,30.0,14.6
JOB1192,2025-01-17,Line_1,A,1039,881,866,15.0,48.7
JOB1193,2025-01-17,Line_1,B,1110,918,898,20.2,29.0
JOB1194,2025-01-17,Line_1,C,1166,788,767,21.4,71.6
JOB1195,2025-01-17,Line_2,A,1123,887,846,41.1,48.4
JOB1196,2025-01-17,Line_2,B,1092,1018,985,33.1,13.2
JOB1197,2025-01-17,Line_2,C,926,662,622,40.9,51.2
JOB1198,2025-01-17,Line_3,A,1119,943,913,30.1,47.1
JOB1199,2025-01-17,Line_3,B,948,751,730,21.5,42.9
JOB1200,2025-01-17,Line_3,C,1135,991,975,16.0,19.2
JOB1201,2025-01-17,Line_4,A,1072,671,636,34.8,54.3
JOB1202,2025-01-17,Line_4,B,801,615,570,45.7,33.8
JOB1203,2025-01-17,Line_4,C,927,920,901,19.7,20.8
JOB1204,2025-01-18,Line_1,A,924,685,672,12.2,60.1
JOB1205,2025-01-18,Line_1,B,820,693,672,20.6,47.9
JOB1206,2025-01-18,Line_1,C,811,584,551,32.7,33.9
JOB1207,2025-01-18,Line_2,A,992,777,745,31.2,46.1
JOB1208,2025-01-18,Line_2,B,1125,900,895,5.1,43.9
JOB1209,2025-01-18,Line_2,C,904,898,878,19.5,11.9
JOB1210,2025-01-18,Line_3,A,1142,1074,1040,34.1,0.0
JOB1211,2025-01-18,Line_3,B,1153,958,932,25.6,44.1
JOB1212,2025-01-18,Line_3,C,816,580,541,39.7,48.1
JOB1213,2025-01-18,Line_4,A,1125,1219,1208,11.1,0.0
JOB1214,2025-01-18,Line_4,B,1130,925,905,20.1,45.6
JOB1215,2025-01-18,Line_4,C,1049,856,832,23.8,40.7
JOB1216,2025-01-19,Line_1,A,1123,885,859,26.2,52.5
JOB1217,2025-01-19,Line_1,B,1172,1078,1056,21.9,11.9
JOB1218,2025-01-19,Line_1,C,1176,1047,1018,28.6,28.4
JOB1219,2025-01-19,Line_2,A,1141,1044,1020,24.0,36.5
JOB1220,2025-01-19,Line_2,B,937,851,826,25.6,31.0
JOB1221,2025-01-19,Line_2,C,990,863,825,37.4,25.6
JOB1222,2025-01-19,Line_3,A,931,825,814,10.8,25.1
JOB1223,2025-01-19,Line_3,B,980,1038,1014,24.3,5.0
JOB1224,2025-01-19,Line_3,C,1021,881,870,11.5,26.2
JOB1225,2025-01-19,Line_4,A,1073,998,985,13.0,29.9
JOB1226,2025-01-19,Line_4,B,928,734,713,20.6,49.1
JOB1227,2025-01-19,Line_4,C,921,792,763,28.6,24.3
JOB1228,2025-01-20,Line_1,A,1165,956,929,27.1,46.4
JOB1229,2025-01-20,Line_1,B,879,665,630,34.9,39.5
JOB1230,2025-01-20,Line_1,C,911,698,678,20.0,40.6
JOB1231,2025-01-20,Line_2,A,1026,929,924,5.5,22.9
JOB1232,2025-01-20,Line_2,B,1055,825,795,30.4,36.9
JOB1233,2025-01-20,Line_2,C,880,708,675,33.7,57.0
JOB1234,2025-01-20,Line_3,A,1198,1155,1119,35.7,15.1
JOB1235,2025-01-20,Line_3,B,934,812,794,18.0,30.4
JOB1236,2025-01-20,Line_3,C,907,585,547,38.5,51.1
JOB1237,2025-01-20,Line_4,A,921,816,798,18.0,33.5
JOB1238,2025-01-20,Line_4,B,975,785,751,33.4,40.6
JOB1239,2025-01-20,Line_4,C,924,748,723,25.1,45.9
JOB1240,2025-01-21,Line_1,A,936,919,880,39.6,5.9
JOB1241,2025-01-21,Line_1,B,1007,675,638,37.0,43.6
JOB1242,2025-01-21,Line_1,C,940,866,836,30.6,31.8
JOB1243,2025-01-21,Line_2,A,1172,1167,1131,36.1,0.0
JOB1244,2025-01-21,Line_2,B,868,770,738,32.0,29.5
JOB1245,2025-01-21,Line_2,C,1169,951,924,27.7,33.9
JOB1246,2025-01-21,Line_3,A,1046,798,757,41.0,44.4
JOB1247,2025-01-21,Line_3,B,1034,939,937,1.9,33.9
JOB1248,2025-01-21,Line_3,C,823,676,635,40.9,28.4
JOB1249,2025-01-21,Line_4,A,1147,909,884,24.2,36.9
JOB1250,2025-01-21,Line_4,B,1085,969,954,14.6,49.6
JOB1251,2025-01-21,Line_4,C,871,838,830,7.7,17.7
JOB1252,2025-01-22,Line_1,A,1189,1229,1209,20.0,1.5
JOB1253,2025-01-22,Line_1,B,1174,807,764,43.8,55.9
JOB1254,2025-01-22,Line_1,C,1190,1117,1113,3.7,22.3
JOB1255,2025-01-22,Line_2,A,834,673,633,39.6,40.7
JOB1256,2025-01-22,Line_2,B,930,699,676,23.3,25.9
JOB1257,2025-01-22,Line_2,C,967,786,764,21.6,50.2
JOB1258,2025-01-22,Line_3,A,807,581,561,19.3,34.6
JOB1259,2025-01-22,Line_3,B,1011,904,886,18.3,16.1
JOB1260,2025-01-22,Line_3,C,1080,839,823,16.9,45.1
JOB1261,2025-01-22,Line_4,A,976,913,889,24.1,18.0
JOB1262,2025-01-22,Line_4,B,984,810,777,33.5,43.1
JOB1263,2025-01-22,Line_4,C,981,721,721,0.0,55.1
JOB1264,2025-01-23,Line_1,A,1102,888,880,7.5,30.9
JOB1265,2025-01-23,Line_1,B,1156,1015,990,25.8,21.2
JOB1266,2025-01-23,Line_1,C,1171,960,939,20.9,36.6
JOB1267,2025-01-23,Line_2,A,1143,897,881,15.7,47.6
JOB1268,2025-01-23,Line_2,B,1134,905,869,35.2,47.4
JOB1269,2025-01-23,Line_2,C,859,548,529,19.1,47.2
JOB1270,2025-01-23,Line_3,A,1126,1122,1085,36.9,14.9
JOB1271,2025-01-23,Line_3,B,861,653,625,28.1,32.4
JOB1272,2025-01-23,Line_3,C,807,484,452,32.3,61.3
JOB1273,2025-01-23,Line_4,A,842,542,513,29.6,39.3
JOB1274,2025-01-23,Line_4,B,1123,965,937,27.8,53.7
JOB1275,2025-01-23,Line_4,C,851,533,510,23.1,54.0
JOB1276,2025-01-24,Line_1,A,1107,555,531,23.8,87.8
JOB1277,2025-01-24,Line_1,B,1135,890,870,19.9,51.6
JOB1278,2025-01-24,Line_1,C,1041,882,862,19.9,38.7
JOB1279,2025-01-24,Line_2,A,882,740,712,28.0,31.8
JOB1280,2025-01-24,Line_2,B,904,511,486,25.0,72.2
JOB1281,2025-01-24,Line_2,C,1100,843,814,29.1,34.8
JOB1282,2025-01-24,Line_3,A,1186,997,971,25.9,35.0
JOB1283,2025-01-24,Line_3,B,1198,1025,1001,24.6,36.3
JOB1284,2025-01-24,Line_3,C,886,690,653,37.0,30.5
JOB1285,2025-01-24,Line_4,A,833,586,569,16.9,35.2
JOB1286,2025-01-24,Line_4,B,1045,1028,1019,8.8,15.2
JOB1287,2025-01-24,Line_4,C,994,908,883,25.1,22.4
JOB1288,2025-01-25,Line_1,A,1049,921,892,29.4,23.8
JOB1289,2025-01-25,Line_1,B,1052,1000,967,33.6,9.2
JOB1290,2025-01-25,Line_1,C,993,926,871,54.8,0.0
JOB1291,2025-01-25,Line_2,A,965,844,819,25.3,33.0
JOB1292,2025-01-25,Line_2,B,825,647,624,23.3,34.9
JOB1293,2025-01-25,Line_2,C,955,898,875,22.9,27.2
JOB1294,2025-01-25,Line_3,A,842,620,613,7.8,41.9
JOB1295,2025-01-25,Line_3,B,900,642,616,25.2,49.4
JOB1296,2025-01-25,Line_3,C,929,745,719,25.9,35.2
JOB1297,2025-01-25,Line_4,A,1026,891,881,10.3,43.6
JOB1298,2025-01-25,Line_4,B,1013,789,775,14.2,41.8
JOB1299,2025-01-25,Line_4,C,1163,944,900,43.5,46.9
JOB1300,2025-01-26,Line_1,A,1085,936,917,19.0,42.4
JOB1301,2025-01-26,Line_1,B,812,767,728,39.0,13.5
JOB1302,2025-01-26,Line_1,C,1128,1026,1000,26.8,34.1
JOB1303,2025-01-26,Line_2,A,822,778,762,16.2,20.3
JOB1304,2025-01-26,Line_2,B,1107,988,953,35.1,32.9
JOB1305,2025-01-26,Line_2,C,1133,802,783,19.1,50.3
JOB1306,2025-01-26,Line_3,A,990,818,791,27.8,34.3
JOB1307,2025-01-26,Line_3,B,1034,629,601,27.9,71.8
JOB1308,2025-01-26,Line_3,C,846,714,683,30.9,19.5
JOB1309,2025-01-26,Line_4,A,1145,1076,1059,17.5,32.9
JOB1310,2025-01-26,Line_4,B,1021,921,907,14.1,27.2
JOB1311,2025-01-26,Line_4,C,1108,848,824,24.1,81.1
JOB1312,2025-01-27,Line_1,A,1061,860,838,22.1,39.5
JOB1313,2025-01-27,Line_1,B,1095,948,907,41.3,55.7
JOB1314,2025-01-27,Line_1,C,877,520,513,7.1,58.3
JOB1315,2025-01-27,Line_2,A,823,480,448,32.0,54.5
JOB1316,2025-01-27,Line_2,B,844,579,552,26.8,56.9
JOB1317,2025-01-27,Line_2,C,1073,922,903,19.1,25.9
JOB1318,2025-01-27,Line_3,A,1044,812,782,30.0,36.7
JOB1319,2025-01-27,Line_3,B,804,602,558,44.4,28.8
JOB1320,2025-01-27,Line_3,C,836,897,873,23.9,26.9
JOB1321,2025-01-27,Line_4,A,818,574,559,15.5,49.4
JOB1322,2025-01-27,Line_4,B,1081,1002,984,17.8,40.8
JOB1323,2025-01-27,Line_4,C,1180,908,874,33.8,65.8
JOB1324,2025-01-28,Line_1,A,1161,1191,1167,23.9,0.0
JOB1325,2025-01-28,Line_1,B,1119,1019,994,25.0,22.8
JOB1326,2025-01-28,Line_1,C,1160,1174,1144,30.1,0.0
JOB1327,2025-01-28,Line_2,A,1084,1097,1071,25.3,0.0
JOB1328,2025-01-28,Line_2,B,1159,982,956,26.2,61.9
JOB1329,2025-01-28,Line_2,C,965,753,719,34.9,37.3
JOB1330,2025-01-28,Line_3,A,940,797,756,41.1,24.0
JOB1331,2025-01-28,Line_3,B,988,758,740,18.1,57.0
JOB1332,2025-01-28,Line_3,C,1112,832,823,8.7,48.8
JOB1333,2025-01-28,Line_4,A,1079,860,832,28.2,45.0
JOB1334,2025-01-28,Line_4,B,885,705,678,26.4,40.9
JOB1335,2025-01-28,Line_4,C,1049,1055,1024,31.0,3.9
JOB1336,2025-01-29,Line_1,A,899,701,667,33.7,59.6
JOB1337,2025-01-29,Line_1,B,873,802,778,23.4,20.6
JOB1338,2025-01-29,Line_1,C,1072,675,630,45.5,73.1
JOB1339,2025-01-29,Line_2,A,1140,903,898,4.9,52.4
JOB1340,2025-01-29,Line_2,B,878,551,513,38.5,49.9
JOB1341,2025-01-29,Line_2,C,1114,938,918,19.7,79.8
JOB1342,2025-01-29,Line_3,A,986,827,791,35.2,60.3
JOB1343,2025-01-29,Line_3,B,867,578,549,28.5,46.5
JOB1344,2025-01-29,Line_3,C,965,892,876,15.4,18.7
JOB1345,2025-01-29,Line_4,A,1116,1001,973,28.2,20.3
JOB1346,2025-01-29,Line_4,B,1196,1013,970,42.9,31.2
JOB1347,2025-01-29,Line_4,C,1149,1038,1016,21.6,18.7
JOB1348,2025-01-30,Line_1,A,879,896,876,20.0,0.0
JOB1349,2025-01-30,Line_1,B,1089,911,886,25.4,35.1
JOB1350,2025-01-30,Line_1,C,951,718,702,16.2,49.9
JOB1351,2025-01-30,Line_2,A,895,625,584,41.0,46.9
JOB1352,2025-01-30,Line_2,B,1176,1026,1013,13.1,39.9
JOB1353,2025-01-30,Line_2,C,1109,807,783,24.0,70.8
JOB1354,2025-01-30,Line_3,A,949,560,524,36.9,56.4
JOB1355,2025-01-30,Line_3,B,801,685,646,38.6,17.6
JOB1356,2025-01-30,Line_3,C,1115,980,975,5.2,35.8
JOB1357,2025-01-30,Line_4,A,861,779,734,45.6,27.0
JOB1358,2025-01-30,Line_4,B,1052,620,590,29.5,72.6
JOB1359,2025-01-30,Line_4,C,1145,981,939,41.7,33.1
JOB1360,2025-01-31,Line_1,A,868,883,864,19.0,14.9
JOB1361,2025-01-31,Line_1,B,1075,871,846,24.5,44.8
JOB1362,2025-01-31,Line_1,C,1060,954,940,13.8,15.1
JOB1363,2025-01-31,Line_2,A,841,688,671,17.3,23.0
JOB1364,2025-01-31,Line_2,B,934,789,750,38.7,26.7
JOB1365,2025-01-31,Line_2,C,1198,843,818,25.2,64.7
JOB1366,2025-01-31,Line_3,A,1160,917,882,34.7,41.1
JOB1367,2025-01-31,Line_3,B,1132,818,780,37.7,51.8
JOB1368,2025-01-31,Line_3,C,809,686,654,32.2,42.9
JOB1369,2025-01-31,Line_4,A,1091,799,775,24.6,67.8
JOB1370,2025-01-31,Line_4,B,1169,1001,973,28.3,42.9
JOB1371,2025-01-31,Line_4,C,1183,1193,1167,25.8,6.9
JOB1372,2025-02-01,Line_1,A,1058,775,730,44.7,65.4
JOB1373,2025-02-01,Line_1,B,812,571,545,25.4,34.3
JOB1374,2025-02-01,Line_1,C,958,929,905,23.4,0.0
JOB1375,2025-02-01,Line_2,A,910,745,709,36.2,33.8
JOB1376,2025-02-01,Line_2,B,882,633,618,15.0,49.9
JOB1377,2025-02-01,Line_2,C,1010,878,857,20.5,25.5
JOB1378,2025-02-01,Line_3,A,871,582,567,15.7,72.6
JOB1379,2025-02-01,Line_3,B,1047,885,860,25.5,57.4
JOB1380,2025-02-01,Line_3,C,847,668,647,21.4,43.5
JOB1381,2025-02-01,Line_4,A,1036,811,797,14.0,56.9
JOB1382,2025-02-01,Line_4,B,868,652,629,22.3,39.4
JOB1383,2025-02-01,Line_4,C,826,717,676,40.9,26.6
JOB1384,2025-02-02,Line_1,A,1034,958,942,16.2,25.9
JOB1385,2025-02-02,Line_1,B,1121,803,779,24.3,47.2
JOB1386,2025-02-02,Line_1,C,914,734,698,35.4,23.9
JOB1387,2025-02-02,Line_2,A,1084,980,963,16.7,48.8
JOB1388,2025-02-02,Line_2,B,869,642,605,37.1,27.9
JOB1389,2025-02-02,Line_2,C,1017,918,890,27.6,37.6
JOB1390,2025-02-02,Line_3,A,1045,848,826,21.8,50.2
JOB1391,2025-02-02,Line_3,B,1097,898,861,37.1,40.7
JOB1392,2025-02-02,Line_3,C,1051,966,920,45.5,24.2
JOB1393,2025-02-02,Line_4,A,903,790,766,23.2,19.2
JOB1394,2025-02-02,Line_4,B,909,768,738,30.5,25.9
JOB1395,2025-02-02,Line_4,C,1012,663,623,39.3,53.8
JOB1396,2025-02-03,Line_1,A,1155,966,930,36.6,35.7
JOB1397,2025-02-03,Line_1,B,828,604,573,31.5,49.1
JOB1398,2025-02-03,Line_1,C,933,704,697,7.2,49.5
JOB1399,2025-02-03,Line_2,A,1115,865,828,36.7,62.0
