date,material,expected_qty,actual_qty,variance
2025-01-29,Pulp_A,667,705,38
2025-01-29,Chemical_B,1154,1154,0
2025-01-29,Packaging_C,906,887,-19
2025-01-29,Resin_D,545,551,6
2025-01-30,Pulp_A,673,748,75
2025-01-30,Chemical_B,596,669,73
2025-01-30,Packaging_C,1194,1161,-33
2025-01-30,Resin_D,784,730,-54
2025-01-31,Pulp_A,1120,1138,18
2025-01-31,Chemical_B,695,647,-48
2025-01-31,Packaging_C,1193,1259,66
2025-01-31,Resin_D,510,499,-11
2025-02-01,Pulp_A,762,788,26
2025-02-01,Chemical_B,1079,1126,47
2025-02-01,Packaging_C,792,749,-43
2025-02-01,Resin_D,1107,1165,58
2025-02-02,Pulp_A,1015,1022,7
2025-02-02,Chemical_B,1162,1251,89
2025-02-02,Packaging_C,1102,1024,-78
2025-02-02,Resin_D,580,658,78
2025-02-03,Pulp_A,837,801,-36
2025-02-03,Chemical_B,877,948,71
2025-02-03,Packaging_C,975,904,-71
2025-02-03,Resin_D,828,795,-33
2025-02-04,Pulp_A,1102,1054,-48
2025-02-04,Chemical_B,909,928,19
2025-02-04,Packaging_C,1179,1113,-66
2025-02-04,Resin_D,613,661,48
2025-02-05,Pulp_A,575,504,-71
2025-02-05,Chemical_B,616,559,-57
2025-02-05,Packaging_C,674,632,-42
2025-02-05,Resin_D,950,935,-15
2025-02-06,Pulp_A,681,678,-3
2025-02-06,Chemical_B,1010,1056,46
2025-02-06,Packaging_C,698,693,-5
2025-02-06,Resin_D,664,715,51
2025-02-07,Pulp_A,934,871,-63
2025-02-07,Chemical_B,941,876,-65
2025-02-07,Packaging_C,555,553,-2
2025-02-07,Resin_D,602,549,-53
2025-02-08,Pulp_A,1169,1166,-3
2025-02-08,Chemical_B,1033,1060,27
2025-02-08,Packaging_C,772,706,-66
2025-02-08,Resin_D,869,836,-33
2025-02-09,Pulp_A,536,469,-67
2025-02-09,Chemical_B,1134,1136,2
2025-02-09,Packaging_C,658,650,-8
2025-02-09,Resin_D,1113,1113,0
2025-02-10,Pulp_A,775,809,34
2025-02-10,Chemical_B,964,923,-41
2025-02-10,Packaging_C,538,489,-49
2025-02-10,Resin_D,623,650,27
2025-02-11,Pulp_A,936,870,-66
2025-02-11,Chemical_B,1189,1230,41
2025-02-11,Packaging_C,1086,1109,23
2025-02-11,Resin_D,1179,1213,34
2025-02-12,Pulp_A,853,832,-21
2025-02-12,Chemical_B,1020,1069,49
2025-02-12,Packaging_C,811,888,77
2025-02-12,Resin_D,777,777,0
2025-02-13,Pulp_A,796,809,13
2025-02-13,Chemical_B,1068,1151,83
2025-02-13,Packaging_C,996,1013,17
2025-02-13,Resin_D,515,522,7
2025-02-14,Pulp_A,537,499,-38
2025-02-14,Chemical_B,1125,1048,-77
2025-02-14,Packaging_C,1016,1003,-13
2025-02-14,Resin_D,622,621,-1
2025-02-15,Pulp_A,508,583,75
2025-02-15,Chemical_B,1184,1129,-55
2025-02-15,Packaging_C,527,486,-41
2025-02-15,Resin_D,1145,1091,-54
2025-02-16,Pulp_A,757,734,-23
2025-02-16,Chemical_B,1047,1038,-9
2025-02-16,Packaging_C,989,1045,56
2025-02-16,Resin_D,832,801,-31
2025-02-17,Pulp_A,1146,1090,-56
2025-02-17,Chemical_B,558,618,60
2025-02-17,Packaging_C,841,872,31
2025-02-17,Resin_D,841,858,17
2025-02-18,Pulp_A,703,721,18
2025-02-18,Chemical_B,849,774,-75
2025-02-18,Packaging_C,642,577,-65
2025-02-18,Resin_D,1031,1027,-4
2025-02-19,Pulp_A,1173,1148,-25
2025-02-19,Chemical_B,1028,964,-64
2025-02-19,Packaging_C,975,1040,65
2025-02-19,Resin_D,928,925,-3
2025-02-20,Pulp_A,1188,1237,49
2025-02-20,Chemical_B,510,479,-31
2025-02-20,Packaging_C,1006,1088,82
2025-02-20,Resin_D,621,683,62
2025-02-21,Pulp_A,646,628,-18
2025-02-21,Chemical_B,1076,1034,-42
2025-02-21,Packaging_C,1120,1065,-55
2025-02-21,Resin_D,1183,1114,-69
2025-02-22,Pulp_A,927,903,-24
2025-02-22,Chemical_B,899,927,28
2025-02-22,Packaging_C,984,1023,39
2025-02-22,Resin_D,855,923,68
2025-02-23,Pulp_A,884,850,-34
2025-02-23,Chemical_B,702,626,-76
2025-02-23,Packaging_C,1189,1132,-57
2025-02-23,Resin_D,1186,1123,-63
2025-02-24,Pulp_A,1018,1047,29
2025-02-24,Chemical_B,613,583,-30
2025-02-24,Packaging_C,801,740,-61
2025-02-24,Resin_D,595,552,-43
2025-02-25,Pulp_A,746,747,1
2025-02-25,Chemical_B,1143,1084,-59
2025-02-25,Packaging_C,886,884,-2
2025-02-25,Resin_D,1110,1067,-43
2025-02-26,Pulp_A,536,519,-17
2025-02-26,Chemical_B,841,893,52
2025-02-26,Packaging_C,533,491,-42
2025-02-26,Resin_D,1078,1059,-19
2025-02-27,Pulp_A,926,860,-66
2025-02-27,Chemical_B,1183,1112,-71
2025-02-27,Packaging_C,1031,1020,-11
2025-02-27,Resin_D,1019,972,-47
2025-02-28,Pulp_A,716,795,79
2025-02-28,Chemical_B,585,671,86
2025-02-28,Packaging_C,819,856,37
2025-02-28,Resin_D,914,920,6
2025-03-01,Pulp_A,829,835,6
2025-03-01,Chemical_B,898,911,13
2025-03-01,Packaging_C,1109,1169,60
2025-03-01,Resin_D,1007,1058,51
2025-03-02,Pulp_A,1156,1175,19
2025-03-02,Chemical_B,513,451,-62
2025-03-02,Packaging_C,570,548,-22
2025-03-02,Resin_D,694,710,16
2025-03-03,Pulp_A,668,591,-77
2025-03-03,Chemical_B,1146,1111,-35
2025-03-03,Packaging_C,1006,934,-72
2025-03-03,Resin_D,970,1050,80
2025-03-04,Pulp_A,850,877,27
2025-03-04,Chemical_B,739,711,-28
2025-03-04,Packaging_C,829,797,-32
2025-03-04,Resin_D,1125,1139,14
2025-03-05,Pulp_A,943,959,16
2025-03-05,Chemical_B,910,995,85
2025-03-05,Packaging_C,1037,1119,82
2025-03-05,Resin_D,949,941,-8
2025-03-06,Pulp_A,1144,1169,25
2025-03-06,Chemical_B,893,952,59
2025-03-06,Packaging_C,1093,1070,-23
2025-03-06,Resin_D,1160,1228,68
2025-03-07,Pulp_A,882,913,31
2025-03-07,Chemical_B,815,774,-41
2025-03-07,Packaging_C,844,804,-40
2025-03-07,Resin_D,972,1006,34
2025-03-08,Pulp_A,723,714,-9
2025-03-08,Chemical_B,567,550,-17
2025-03-08,Packaging_C,1105,1043,-62
2025-03-08,Resin_D,1139,1145,6
2025-03-09,Pulp_A,562,557,-5
2025-03-09,Chemical_B,581,551,-30
2025-03-09,Packaging_C,798,751,-47
2025-03-09,Resin_D,1108,1076,-32
2025-03-10,Pulp_A,652,624,-28
2025-03-10,Chemical_B,897,927,30
2025-03-10,Packaging_C,926,957,31
2025-03-10,Resin_D,824,745,-79
2025-03-11,Pulp_A,654,592,-62
2025-03-11,Chemical_B,1165,1137,-28
2025-03-11,Packaging_C,678,762,84
2025-03-11,Resin_D,636,558,-78
2025-03-12,Pulp_A,530,611,81
2025-03-12,Chemical_B,627,584,-43
2025-03-12,Packaging_C,940,960,20
2025-03-12,Resin_D,887,936,49
2025-03-13,Pulp_A,834,848,14
2025-03-13,Chemical_B,716,746,30
2025-03-13,Packaging_C,852,934,82
2025-03-13,Resin_D,1130,1118,-12
2025-03-14,Pulp_A,1120,1157,37
2025-03-14,Chemical_B,1106,1069,-37
2025-03-14,Packaging_C,566,641,75
2025-03-14,Resin_D,705,642,-63
2025-03-15,Pulp_A,845,824,-21
2025-03-15,Chemical_B,1158,1184,26
2025-03-15,Packaging_C,1049,1102,53
2025-03-15,Resin_D,720,686,-34
2025-03-16,Pulp_A,1015,964,-51
2025-03-16,Chemical_B,768,708,-60
2025-03-16,Packaging_C,1052,1092,40
2025-03-16,Resin_D,774,741,-33
2025-03-17,Pulp_A,1043,1023,-20
2025-03-17,Chemical_B,1181,1229,48
2025-03-17,Packaging_C,946,967,21
2025-03-17,Resin_D,534,504,-30
2025-03-18,Pulp_A,1194,1190,-4
2025-03-18,Chemical_B,543,500,-43
2025-03-18,Packaging_C,817,758,-59
2025-03-18,Resin_D,1084,1171,87
2025-03-19,Pulp_A,1002,1037,35
2025-03-19,Chemical_B,764,691,-73
2025-03-19,Packaging_C,609,675,66
2025-03-19,Resin_D,806,756,-50
2025-03-20,Pulp_A,667,627,-40
2025-03-20,Chemical_B,507,530,23
2025-03-20,Packaging_C,694,626,-68
2025-03-20,Resin_D,518,535,17
2025-03-21,Pulp_A,765,825,60
2025-03-21,Chemical_B,735,784,49
2025-03-21,Packaging_C,717,651,-66
2025-03-21,Resin_D,940,997,57
2025-03-22,Pulp_A,535,473,-62
2025-03-22,Chemical_B,590,554,-36
2025-03-22,Packaging_C,716,790,74
2025-03-22,Resin_D,597,535,-62
2025-03-23,Pulp_A,786,726,-60
2025-03-23,Chemical_B,886,931,45
2025-03-23,Packaging_C,949,903,-46
2025-03-23,Resin_D,668,731,63
2025-03-24,Pulp_A,1124,1105,-19
2025-03-24,Chemical_B,1058,1055,-3
2025-03-24,Packaging_C,605,683,78
2025-03-24,Resin_D,881,805,-76
2025-03-25,Pulp_A,733,804,71
2025-03-25,Chemical_B,1193,1258,65
2025-03-25,Packaging_C,1061,1083,22
2025-03-25,Resin_D,1044,1052,8
2025-03-26,Pulp_A,500,430,-70
2025-03-26,Chemical_B,1139,1226,87
2025-03-26,Packaging_C,713,676,-37
2025-03-26,Resin_D,1017,1092,75
2025-03-27,Pulp_A,1042,995,-47
2025-03-27,Chemical_B,634,636,2
2025-03-27,Packaging_C,890,856,-34
2025-03-27,Resin_D,891,939,48
2025-03-28,Pulp_A,680,643,-37
2025-03-28,Chemical_B,629,697,68
2025-03-28,Packaging_C,971,940,-31
2025-03-28,Resin_D,1122,1178,56
2025-03-29,Pulp_A,572,506,-66
2025-03-29,Chemical_B,998,1015,17
2025-03-29,Packaging_C,733,715,-18
2025-03-29,Resin_D,518,550,32
2025-03-30,Pulp_A,992,1078,86
2025-03-30,Chemical_B,890,813,-77
2025-03-30,Packaging_C,1154,1079,-75
2025-03-30,Resin_D,828,910,82
2025-03-31,Pulp_A,950,875,-75
2025-03-31,Chemical_B,1194,1151,-43
2025-03-31,Packaging_C,615,636,21
2025-03-31,Resin_D,507,504,-3
2025-04-01,Pulp_A,1193,1279,86
2025-04-01,Chemical_B,922,956,34
2025-04-01,Packaging_C,705,654,-51
2025-04-01,Resin_D,604,554,-50
2025-04-02,Pulp_A,988,984,-4
2025-04-02,Chemical_B,873,908,35
2025-04-02,Packaging_C,566,498,-68
2025-04-02,Resin_D,591,521,-70
2025-04-03,Pulp_A,1018,1049,31
2025-04-03,Chemical_B,1117,1134,17
2025-04-03,Packaging_C,767,746,-21
2025-04-03,Resin_D,999,970,-29
2025-04-04,Pulp_A,632,623,-9
2025-04-04,Chemical_B,1089,1108,19
2025-04-04,Packaging_C,570,496,-74
2025-04-04,Resin_D,805,770,-35
2025-04-05,Pulp_A,516,494,-22
2025-04-05,Chemical_B,935,986,51
2025-04-05,Packaging_C,576,626,50
2025-04-05,Resin_D,870,954,84
2025-04-06,Pulp_A,847,929,82
2025-04-06,Chemical_B,1179,1120,-59
2025-04-06,Packaging_C,1187,1159,-28
2025-04-06,Resin_D,509,574,65
2025-04-07,Pulp_A,948,979,31
2025-04-07,Chemical_B,738,801,63
2025-04-07,Packaging_C,873,812,-61
2025-04-07,Resin_D,1075,1027,-48
2025-04-08,Pulp_A,1157,1082,-75
2025-04-08,Chemical_B,935,894,-41
2025-04-08,Packaging_C,738,699,-39
2025-04-08,Resin_D,509,497,-12
2025-04-09,Pulp_A,557,589,32
2025-04-09,Chemical_B,1191,1272,81
2025-04-09,Packaging_C,1046,1068,22
2025-04-09,Resin_D,602,682,80
2025-04-10,Pulp_A,641,624,-17
2025-04-10,Chemical_B,530,485,-45
2025-04-10,Packaging_C,765,710,-55
2025-04-10,Resin_D,880,843,-37
2025-04-11,Pulp_A,1185,1173,-12
2025-04-11,Chemical_B,1122,1194,72
2025-04-11,Packaging_C,899,918,19
2025-04-11,Resin_D,716,676,-40
2025-04-12,Pulp_A,984,1052,68
2025-04-12,Chemical_B,532,608,76
2025-04-12,Packaging_C,1064,1023,-41
2025-04-12,Resin_D,701,638,-63
2025-04-13,Pulp_A,874,958,84
2025-04-13,Chemical_B,1191,1227,36
2025-04-13,Packaging_C,765,806,41
2025-04-13,Resin_D,1049,1012,-37
2025-04-14,Pulp_A,949,938,-11
2025-04-14,Chemical_B,682,742,60
2025-04-14,Packaging_C,980,1046,66
2025-04-14,Resin_D,962,1042,80
2025-04-15,Pulp_A,815,788,-27
2025-04-15,Chemical_B,536,492,-44
2025-04-15,Packaging_C,769,783,14
2025-04-15,Resin_D,1007,1028,21
2025-04-16,Pulp_A,1021,1034,13
2025-04-16,Chemical_B,913,947,34
2025-04-16,Packaging_C,908,954,46
2025-04-16,Resin_D,940,969,29
2025-04-17,Pulp_A,804,824,20
2025-04-17,Chemical_B,647,595,-52
2025-04-17,Packaging_C,1156,1149,-7
2025-04-17,Resin_D,761,742,-19
2025-04-18,Pulp_A,737,689,-48
2025-04-18,Chemical_B,784,740,-44
2025-04-18,Packaging_C,602,545,-57
2025-04-18,Resin_D,1153,1205,52
2025-04-19,Pulp_A,792,862,70
2025-04-19,Chemical_B,1188,1168,-20
2025-04-19,Packaging_C,1088,1167,79
2025-04-19,Resin_D,882,887,5
2025-04-20,Pulp_A,1032,993,-39
2025-04-20,Chemical_B,919,975,56
2025-04-20,Packaging_C,895,824,-71
2025-04-20,Resin_D,686,738,52
2025-04-21,Pulp_A,1053,1111,58
2025-04-21,Chemical_B,1084,1014,-70
2025-04-21,Packaging_C,693,767,74
2025-04-21,Resin_D,745,722,-23
2025-04-22,Pulp_A,669,670,1
2025-04-22,Chemical_B,900,954,54
2025-04-22,Packaging_C,1051,1138,87
2025-04-22,Resin_D,542,534,-8
2025-04-23,Pulp_A,1198,1271,73
2025-04-23,Chemical_B,628,655,27
2025-04-23,Packaging_C,888,976,88
2025-04-23,Resin_D,946,1015,69
2025-04-24,Pulp_A,1108,1128,20
2025-04-24,Chemical_B,500,458,-42
2025-04-24,Packaging_C,526,481,-45
2025-04-24,Resin_D,659,747,88
2025-04-25,Pulp_A,601,540,-61
2025-04-25,Chemical_B,1128,1164,36
2025-04-25,Packaging_C,672,595,-77
2025-04-25,Resin_D,978,1045,67
2025-04-26,Pulp_A,705,788,83
2025-04-26,Chemical_B,526,526,0
2025-04-26,Packaging_C,606,561,-45
2025-04-26,Resin_D,1096,1170,74
2025-04-27,Pulp_A,893,963,70
2025-04-27,Chemical_B,1154,1191,37
2025-04-27,Packaging_C,883,819,-64
2025-04-27,Resin_D,1093,1026,-67
2025-04-28,Pulp_A,1002,1010,8
2025-04-28,Chemical_B,702,633,-69
2025-04-28,Packaging_C,512,568,56
2025-04-28,Resin_D,814,776,-38
2025-04-29,Pulp_A,1010,1061,51
2025-04-29,Chemical_B,1052,1070,18
2025-04-29,Packaging_C,783,803,20
2025-04-29,Resin_D,546,602,56
2025-04-30,Pulp_A,899,957,58
2025-04-30,Chemical_B,745,699,-46
2025-04-30,Packaging_C,611,700,89
2025-04-30,Resin_D,1098,1136,38
2025-05-01,Pulp_A,935,997,62
2025-05-01,Chemical_B,798,767,-31
2025-05-01,Packaging_C,761,841,80
2025-05-01,Resin_D,561,535,-26
2025-05-02,Pulp_A,632,627,-5
2025-05-02,Chemical_B,918,874,-44
2025-05-02,Packaging_C,943,1006,63
2025-05-02,Resin_D,529,490,-39
2025-05-03,Pulp_A,1149,1215,66
2025-05-03,Chemical_B,709,786,77
2025-05-03,Packaging_C,913,985,72
2025-05-03,Resin_D,829,875,46
2025-05-04,Pulp_A,588,669,81
2025-05-04,Chemical_B,1002,1087,85
2025-05-04,Packaging_C,1025,983,-42
2025-05-04,Resin_D,1193,1242,49
2025-05-05,Pulp_A,1155,1130,-25
2025-05-05,Chemical_B,1119,1133,14
2025-05-05,Packaging_C,505,454,-51
2025-05-05,Resin_D,946,994,48
2025-05-06,Pulp_A,901,894,-7
2025-05-06,Chemical_B,517,576,59
2025-05-06,Packaging_C,614,605,-9
2025-05-06,Resin_D,724,689,-35
2025-05-07,Pulp_A,715,663,-52
2025-05-07,Chemical_B,771,823,52
2025-05-07,Packaging_C,504,453,-51
2025-05-07,Resin_D,1128,1052,-76
2025-05-08,Pulp_A,596,578,-18
2025-05-08,Chemical_B,511,441,-70
2025-05-08,Packaging_C,662,608,-54
2025-05-08,Resin_D,740,748,8
2025-05-09,Pulp_A,835,783,-52
2025-05-09,Chemical_B,993,1066,73
2025-05-09,Packaging_C,730,751,21
2025-05-09,Resin_D,676,754,78
2025-05-10,Pulp_A,628,596,-32
2025-05-10,Chemical_B,1133,1087,-46
2025-05-10,Packaging_C,1094,1066,-28
2025-05-10,Resin_D,935,930,-5
2025-05-11,Pulp_A,989,913,-76
2025-05-11,Chemical_B,575,501,-74
2025-05-11,Packaging_C,1180,1229,49
2025-05-11,Resin_D,972,1029,57
2025-05-12,Pulp_A,556,588,32
2025-05-12,Chemical_B,712,654,-58
2025-05-12,Packaging_C,879,915,36
2025-05-12,Resin_D,950,956,6
2025-05-13,Pulp_A,971,948,-23
2025-05-13,Chemical_B,1169,1164,-5
2025-05-13,Packaging_C,518,565,47
2025-05-13,Resin_D,689,712,23
2025-05-14,Pulp_A,891,912,21
2025-05-14,Chemical_B,792,796,4
2025-05-14,Packaging_C,700,648,-52
2025-05-14,Resin_D,796,771,-25
2025-05-15,Pulp_A,664,647,-17
2025-05-15,Chemical_B,547,616,69
2025-05-15,Packaging_C,983,1060,77
2025-05-15,Resin_D,1167,1237,70
2025-05-16,Pulp_A,805,860,55
2025-05-16,Chemical_B,623,604,-19
2025-05-16,Packaging_C,972,967,-5
2025-05-16,Resin_D,1040,1061,21
2025-05-17,Pulp_A,966,997,31
2025-05-17,Chemical_B,628,663,35
2025-05-17,Packaging_C,743,832,89
2025-05-17,Resin_D,853,842,-11
2025-05-18,Pulp_A,757,705,-52
2025-05-18,Chemical_B,536,500,-36
2025-05-18,Packaging_C,1131,1096,-35
2025-05-18,Resin_D,1151,1123,-28
2025-05-19,Pulp_A,1104,1149,45
2025-05-19,Chemical_B,608,574,-34
2025-05-19,Packaging_C,713,724,11
2025-05-19,Resin_D,1192,1264,72
2025-05-20,Pulp_A,592,546,-46
2025-05-20,Chemical_B,1032,1013,-19
2025-05-20,Packaging_C,838,913,75
2025-05-20,Resin_D,759,819,60
2025-05-21,Pulp_A,628,662,34
2025-05-21,Chemical_B,937,892,-45
2025-05-21,Packaging_C,706,663,-43
2025-05-21,Resin_D,1186,1134,-52
2025-05-22,Pulp_A,742,674,-68
2025-05-22,Chemical_B,639,715,76
2025-05-22,Packaging_C,1096,1099,3
2025-05-22,Resin_D,775,725,-50
2025-05-23,Pulp_A,566,526,-40
2025-05-23,Chemical_B,1168,1252,84
2025-05-23,Packaging_C,1002,937,-65
2025-05-23,Resin_D,799,768,-31
2025-05-24,Pulp_A,1163,1100,-63
2025-05-24,Chemical_B,526,469,-57
2025-05-24,Packaging_C,528,586,58
2025-05-24,Resin_D,1157,1199,42
2025-05-25,Pulp_A,1123,1195,72
2025-05-25,Chemical_B,815,809,-6
2025-05-25,Packaging_C,865,818,-47
2025-05-25,Resin_D,1152,1237,85
2025-05-26,Pulp_A,955,1021,66
2025-05-26,Chemical_B,1025,954,-71
2025-05-26,Packaging_C,786,846,60
2025-05-26,Resin_D,905,861,-44
2025-05-27,Pulp_A,559,511,-48
2025-05-27,Chemical_B,802,840,38
2025-05-27,Packaging_C,782,723,-59
2025-05-27,Resin_D,1058,1070,12
2025-05-28,Pulp_A,540,560,20
2025-05-28,Chemical_B,612,640,28
2025-05-28,Packaging_C,665,670,5
2025-05-28,Resin_D,577,551,-26
2025-05-29,Pulp_A,920,966,46
2025-05-29,Chemical_B,991,997,6
2025-05-29,Packaging_C,788,844,56
2025-05-29,Resin_D,552,563,11
2025-05-30,Pulp_A,1148,1129,-19
2025-05-30,Chemical_B,794,828,34
2025-05-30,Packaging_C,893,952,59
2025-05-30,Resin_D,571,552,-19
2025-05-31,Pulp_A,1023,947,-76
2025-05-31,Chemical_B,861,949,88
2025-05-31,Packaging_C,1159,1207,48
2025-05-31,Resin_D,811,800,-11
2025-06-01,Pulp_A,818,792,-26
2025-06-01,Chemical_B,913,914,1
2025-06-01,Packaging_C,513,488,-25
2025-06-01,Resin_D,902,907,5
2025-06-02,Pulp_A,1178,1128,-50
2025-06-02,Chemical_B,685,616,-69
2025-06-02,Packaging_C,921,888,-33
2025-06-02,Resin_D,965,967,2
2025-06-03,Pulp_A,1164,1195,31
2025-06-03,Chemical_B,505,435,-70
2025-06-03,Packaging_C,1028,1090,62
2025-06-03,Resin_D,771,746,-25
2025-06-04,Pulp_A,1022,1082,60
2025-06-04,Chemical_B,1170,1115,-55
2025-06-04,Packaging_C,818,896,78
2025-06-04,Resin_D,777,830,53
2025-06-05,Pulp_A,564,537,-27
2025-06-05,Chemical_B,929,1009,80
2025-06-05,Packaging_C,805,829,24
2025-06-05,Resin_D,777,736,-41
2025-06-06,Pulp_A,810,801,-9
2025-06-06,Chemical_B,559,507,-52
2025-06-06,Packaging_C,1030,1022,-8
2025-06-06,Resin_D,893,913,20
2025-06-07,Pulp_A,1127,1208,81
2025-06-07,Chemical_B,602,528,-74
2025-06-07,Packaging_C,861,894,33
2025-06-07,Resin_D,1034,1055,21
2025-06-08,Pulp_A,947,897,-50
2025-06-08,Chemical_B,849,852,3
2025-06-08,Packaging_C,827,790,-37
2025-06-08,Resin_D,785,739,-46
2025-06-09,Pulp_A,734,656,-78
2025-06-09,Chemical_B,755,789,34
2025-06-09,Packaging_C,777,700,-77
2025-06-09,Resin_D,711,644,-67
2025-06-10,Pulp_A,792,872,80
2025-06-10,Chemical_B,649,638,-11
2025-06-10,Packaging_C,1044,991,-53
2025-06-10,Resin_D,759,744,-15
2025-06-11,Pulp_A,646,673,27
2025-06-11,Chemical_B,1098,1101,3
2025-06-11,Packaging_C,1015,1031,16
2025-06-11,Resin_D,1123,1183,60
2025-06-12,Pulp_A,720,691,-29
2025-06-12,Chemical_B,661,615,-46
2025-06-12,Packaging_C,536,533,-3
2025-06-12,Resin_D,1122,1155,33
2025-06-13,Pulp_A,951,966,15
2025-06-13,Chemical_B,867,870,3
2025-06-13,Packaging_C,761,753,-8
2025-06-13,Resin_D,1088,1038,-50
2025-06-14,Pulp_A,1041,1070,29
2025-06-14,Chemical_B,711,638,-73
2025-06-14,Packaging_C,937,922,-15
2025-06-14,Resin_D,583,622,39
2025-06-15,Pulp_A,1008,1036,28
2025-06-15,Chemical_B,1027,1056,29
2025-06-15,Packaging_C,1171,1179,8
2025-06-15,Resin_D,1106,1041,-65
2025-06-16,Pulp_A,623,574,-49
2025-06-16,Chemical_B,856,814,-42
2025-06-16,Packaging_C,593,522,-71
2025-06-16,Resin_D,907,926,19
2025-06-17,Pulp_A,1002,923,-79
