date,machine,shift,downtime_reason,minutes
2025-01-14,Line_2,C,Material Shortage,37.1
2025-01-14,Line_3,A,Maintenance,48.4
2025-01-14,Line_3,B,Changeover,23.5
2025-01-14,Line_3,C,Operator Delay,13.8
2025-01-14,Line_4,A,Quality Hold,29.1
2025-01-14,Line_4,B,Operator Delay,7.4
2025-01-14,Line_4,C,Operator Delay,28.8
2025-01-15,Line_1,A,Material Shortage,47.6
2025-01-15,Line_1,B,Operator Delay,33.1
2025-01-15,Line_1,C,Operator Delay,17.6
2025-01-15,Line_2,A,Changeover,44.3
2025-01-15,Line_2,B,Operator Delay,31.2
2025-01-15,Line_2,C,Changeover,7.5
2025-01-15,Line_3,A,Operator Delay,67.3
2025-01-15,Line_3,B,Quality Hold,23.7
2025-01-15,Line_3,C,Quality Hold,30.3
2025-01-15,Line_4,A,Operator Delay,30.5
2025-01-15,Line_4,B,Maintenance,52.4
2025-01-15,Line_4,C,Changeover,33.2
2025-01-16,Line_1,A,Maintenance,30.9
2025-01-16,Line_1,B,Maintenance,30.3
2025-01-16,Line_1,C,Quality Hold,59.7
2025-01-16,Line_2,A,Changeover,6.4
2025-01-16,Line_2,B,Quality Hold,28.1
2025-01-16,Line_2,C,Changeover,86.3
2025-01-16,Line_3,A,Maintenance,38.7
2025-01-16,Line_3,B,Changeover,3.1
2025-01-16,Line_3,C,Maintenance,14.9
2025-01-16,Line_4,A,Changeover,50.8
2025-01-16,Line_4,B,Material Shortage,20.6
2025-01-16,Line_4,C,Quality Hold,14.6
2025-01-17,Line_1,A,Material Shortage,48.7
2025-01-17,Line_1,B,Changeover,29.0
2025-01-17,Line_1,C,Changeover,71.6
2025-01-17,Line_2,A,Operator Delay,48.4
2025-01-17,Line_2,B,Quality Hold,13.2
2025-01-17,Line_2,C,Maintenance,51.2
2025-01-17,Line_3,A,Material Shortage,47.1
2025-01-17,Line_3,B,Maintenance,42.9
2025-01-17,Line_3,C,Maintenance,19.2
2025-01-17,Line_4,A,Quality Hold,54.3
2025-01-17,Line_4,B,Changeover,33.8
2025-01-17,Line_4,C,Maintenance,20.8
2025-01-18,Line_1,A,Changeover,60.1
2025-01-18,Line_1,B,Maintenance,47.9
2025-01-18,Line_1,C,Maintenance,33.9
2025-01-18,Line_2,A,Maintenance,46.1
2025-01-18,Line_2,B,Operator Delay,43.9
2025-01-18,Line_2,C,Changeover,11.9
2025-01-18,Line_3,A,Changeover,0.0
2025-01-18,Line_3,B,Operator Delay,44.1
2025-01-18,Line_3,C,Maintenance,48.1
2025-01-18,Line_4,A,Operator Delay,0.0
2025-01-18,Line_4,B,Changeover,45.6
2025-01-18,Line_4,C,Operator Delay,40.7
2025-01-19,Line_1,A,Maintenance,52.5
2025-01-19,Line_1,B,Maintenance,11.9
2025-01-19,Line_1,C,Maintenance,28.4
2025-01-19,Line_2,A,Material Shortage,36.5
2025-01-19,Line_2,B,Quality Hold,31.0
2025-01-19,Line_2,C,Changeover,25.6
2025-01-19,Line_3,A,Quality Hold,25.1
2025-01-19,Line_3,B,Operator Delay,5.0
2025-01-19,Line_3,C,Quality Hold,26.2
2025-01-19,Line_4,A,Operator Delay,29.9
2025-01-19,Line_4,B,Operator Delay,49.1
2025-01-19,Line_4,C,Changeover,24.3
2025-01-20,Line_1,A,Operator Delay,46.4
2025-01-20,Line_1,B,Material Shortage,39.5
2025-01-20,Line_1,C,Maintenance,40.6
2025-01-20,Line_2,A,Maintenance,22.9
2025-01-20,Line_2,B,Changeover,36.9
2025-01-20,Line_2,C,Maintenance,57.0
2025-01-20,Line_3,A,Maintenance,15.1
2025-01-20,Line_3,B,Changeover,30.4
2025-01-20,Line_3,C,Changeover,51.1
2025-01-20,Line_4,A,Material Shortage,33.5
2025-01-20,Line_4,B,Quality Hold,40.6
2025-01-20,Line_4,C,Quality Hold,45.9
2025-01-21,Line_1,A,Operator Delay,5.9
2025-01-21,Line_1,B,Maintenance,43.6
2025-01-21,Line_1,C,Quality Hold,31.8
2025-01-21,Line_2,A,Quality Hold,0.0
2025-01-21,Line_2,B,Maintenance,29.5
2025-01-21,Line_2,C,Changeover,33.9
2025-01-21,Line_3,A,Quality Hold,44.4
2025-01-21,Line_3,B,Operator Delay,33.9
2025-01-21,Line_3,C,Maintenance,28.4
2025-01-21,Line_4,A,Maintenance,36.9
2025-01-21,Line_4,B,Material Shortage,49.6
2025-01-21,Line_4,C,Changeover,17.7
2025-01-22,Line_1,A,Maintenance,1.5
2025-01-22,Line_1,B,Changeover,55.9
2025-01-22,Line_1,C,Operator Delay,22.3
2025-01-22,Line_2,A,Quality Hold,40.7
2025-01-22,Line_2,B,Quality Hold,25.9
2025-01-22,Line_2,C,Material Shortage,50.2
2025-01-22,Line_3,A,Quality Hold,34.6
2025-01-22,Line_3,B,Material Shortage,16.1
2025-01-22,Line_3,C,Operator Delay,45.1
2025-01-22,Line_4,A,Changeover,18.0
2025-01-22,Line_4,B,Quality Hold,43.1
2025-01-22,Line_4,C,Maintenance,55.1
2025-01-23,Line_1,A,Changeover,30.9
2025-01-23,Line_1,B,Changeover,21.2
2025-01-23,Line_1,C,Maintenance,36.6
2025-01-23,Line_2,A,Maintenance,47.6
2025-01-23,Line_2,B,Changeover,47.4
2025-01-23,Line_2,C,Material Shortage,47.2
2025-01-23,Line_3,A,Maintenance,14.9
2025-01-23,Line_3,B,Maintenance,32.4
2025-01-23,Line_3,C,Changeover,61.3
2025-01-23,Line_4,A,Changeover,39.3
2025-01-23,Line_4,B,Maintenance,53.7
2025-01-23,Line_4,C,Changeover,54.0
2025-01-24,Line_1,A,Maintenance,87.8
2025-01-24,Line_1,B,Maintenance,51.6
2025-01-24,Line_1,C,Maintenance,38.7
2025-01-24,Line_2,A,Quality Hold,31.8
2025-01-24,Line_2,B,Operator Delay,72.2
2025-01-24,Line_2,C,Material Shortage,34.8
2025-01-24,Line_3,A,Maintenance,35.0
2025-01-24,Line_3,B,Maintenance,36.3
2025-01-24,Line_3,C,Changeover,30.5
2025-01-24,Line_4,A,Maintenance,35.2
2025-01-24,Line_4,B,Quality Hold,15.2
2025-01-24,Line_4,C,Maintenance,22.4
2025-01-25,Line_1,A,Maintenance,23.8
2025-01-25,Line_1,B,Operator Delay,9.2
2025-01-25,Line_1,C,Material Shortage,0.0
2025-01-25,Line_2,A,Changeover,33.0
2025-01-25,Line_2,B,Changeover,34.9
2025-01-25,Line_2,C,Operator Delay,27.2
2025-01-25,Line_3,A,Changeover,41.9
2025-01-25,Line_3,B,Quality Hold,49.4
2025-01-25,Line_3,C,Maintenance,35.2
2025-01-25,Line_4,A,Quality Hold,43.6
2025-01-25,Line_4,B,Material Shortage,41.8
2025-01-25,Line_4,C,Operator Delay,46.9
2025-01-26,Line_1,A,Maintenance,42.4
2025-01-26,Line_1,B,Operator Delay,13.5
2025-01-26,Line_1,C,Material Shortage,34.1
2025-01-26,Line_2,A,Changeover,20.3
2025-01-26,Line_2,B,Changeover,32.9
2025-01-26,Line_2,C,Maintenance,50.3
2025-01-26,Line_3,A,Operator Delay,34.3
2025-01-26,Line_3,B,Maintenance,71.8
2025-01-26,Line_3,C,Changeover,19.5
2025-01-26,Line_4,A,Maintenance,32.9
2025-01-26,Line_4,B,Maintenance,27.2
2025-01-26,Line_4,C,Material Shortage,81.1
2025-01-27,Line_1,A,Quality Hold,39.5
2025-01-27,Line_1,B,Changeover,55.7
2025-01-27,Line_1,C,Material Shortage,58.3
2025-01-27,Line_2,A,Material Shortage,54.5
2025-01-27,Line_2,B,Changeover,56.9
2025-01-27,Line_2,C,Material Shortage,25.9
2025-01-27,Line_3,A,Changeover,36.7
2025-01-27,Line_3,B,Changeover,28.8
2025-01-27,Line_3,C,Operator Delay,26.9
2025-01-27,Line_4,A,Changeover,49.4
2025-01-27,Line_4,B,Material Shortage,40.8
2025-01-27,Line_4,C,Changeover,65.8
2025-01-28,Line_1,A,Maintenance,0.0
2025-01-28,Line_1,B,Changeover,22.8
2025-01-28,Line_1,C,Quality Hold,0.0
2025-01-28,Line_2,A,Quality Hold,0.0
2025-01-28,Line_2,B,Material Shortage,61.9
2025-01-28,Line_2,C,Changeover,37.3
2025-01-28,Line_3,A,Changeover,24.0
2025-01-28,Line_3,B,Operator Delay,57.0
2025-01-28,Line_3,C,Quality Hold,48.8
2025-01-28,Line_4,A,Changeover,45.0
2025-01-28,Line_4,B,Maintenance,40.9
2025-01-28,Line_4,C,Material Shortage,3.9
2025-01-29,Line_1,A,Quality Hold,59.6
2025-01-29,Line_1,B,Quality Hold,20.6
2025-01-29,Line_1,C,Changeover,73.1
2025-01-29,Line_2,A,Changeover,52.4
2025-01-29,Line_2,B,Maintenance,49.9
2025-01-29,Line_2,C,Operator Delay,79.8
2025-01-29,Line_3,A,Changeover,60.3
2025-01-29,Line_3,B,Material Shortage,46.5
2025-01-29,Line_3,C,Material Shortage,18.7
2025-01-29,Line_4,A,Quality Hold,20.3
2025-01-29,Line_4,B,Maintenance,31.2
2025-01-29,Line_4,C,Quality Hold,18.7
2025-01-30,Line_1,A,Changeover,0.0
2025-01-30,Line_1,B,Material Shortage,35.1
2025-01-30,Line_1,C,Maintenance,49.9
2025-01-30,Line_2,A,Quality Hold,46.9
2025-01-30,Line_2,B,Changeover,39.9
2025-01-30,Line_2,C,Quality Hold,70.8
2025-01-30,Line_3,A,Changeover,56.4
2025-01-30,Line_3,B,Maintenance,17.6
2025-01-30,Line_3,C,Maintenance,35.8
2025-01-30,Line_4,A,Maintenance,27.0
2025-01-30,Line_4,B,Maintenance,72.6
2025-01-30,Line_4,C,Maintenance,33.1
2025-01-31,Line_1,A,Material Shortage,14.9
2025-01-31,Line_1,B,Operator Delay,44.8
2025-01-31,Line_1,C,Maintenance,15.1
2025-01-31,Line_2,A,Maintenance,23.0
2025-01-31,Line_2,B,Material Shortage,26.7
2025-01-31,Line_2,C,Maintenance,64.7
2025-01-31,Line_3,A,Changeover,41.1
2025-01-31,Line_3,B,Material Shortage,51.8
2025-01-31,Line_3,C,Operator Delay,42.9
2025-01-31,Line_4,A,Changeover,67.8
2025-01-31,Line_4,B,Quality Hold,42.9
2025-01-31,Line_4,C,Quality Hold,6.9
2025-02-01,Line_1,A,Maintenance,65.4
2025-02-01,Line_1,B,Changeover,34.3
2025-02-01,Line_1,C,Material Shortage,0.0
2025-02-01,Line_2,A,Changeover,33.8
2025-02-01,Line_2,B,Quality Hold,49.9
2025-02-01,Line_2,C,Maintenance,25.5
2025-02-01,Line_3,A,Maintenance,72.6
2025-02-01,Line_3,B,Quality Hold,57.4
2025-02-01,Line_3,C,Changeover,43.5
2025-02-01,Line_4,A,Maintenance,56.9
2025-02-01,Line_4,B,Maintenance,39.4
2025-02-01,Line_4,C,Operator Delay,26.6
2025-02-02,Line_1,A,Operator Delay,25.9
2025-02-02,Line_1,B,Operator Delay,47.2
2025-02-02,Line_1,C,Maintenance,23.9
2025-02-02,Line_2,A,Changeover,48.8
2025-02-02,Line_2,B,Quality Hold,27.9
2025-02-02,Line_2,C,Maintenance,37.6
2025-02-02,Line_3,A,Quality Hold,50.2
2025-02-02,Line_3,B,Changeover,40.7
2025-02-02,Line_3,C,Quality Hold,24.2
2025-02-02,Line_4,A,Quality Hold,19.2
2025-02-02,Line_4,B,Maintenance,25.9
2025-02-02,Line_4,C,Changeover,53.8
2025-02-03,Line_1,A,Changeover,35.7
2025-02-03,Line_1,B,Changeover,49.1
2025-02-03,Line_1,C,Operator Delay,49.5
2025-02-03,Line_2,A,Quality Hold,62.0
2025-02-03,Line_2,B,Changeover,31.2
2025-02-03,Line_2,C,Changeover,47.1
2025-02-03,Line_3,A,Maintenance,24.1
2025-02-03,Line_3,B,Maintenance,56.3
2025-02-03,Line_3,C,Quality Hold,22.6
2025-02-03,Line_4,A,Operator Delay,57.9
2025-02-03,Line_4,B,Changeover,17.6
2025-02-03,Line_4,C,Changeover,18.2
2025-02-04,Line_1,A,Changeover,37.5
2025-02-04,Line_1,B,Maintenance,16.7
2025-02-04,Line_1,C,Changeover,76.0
2025-02-04,Line_2,A,Material Shortage,36.1
2025-02-04,Line_2,B,Material Shortage,27.2
2025-02-04,Line_2,C,Material Shortage,21.1
2025-02-04,Line_3,A,Quality Hold,24.8
2025-02-04,Line_3,B,Maintenance,15.9
2025-02-04,Line_3,C,Quality Hold,64.4
2025-02-04,Line_4,A,Operator Delay,18.1
2025-02-04,Line_4,B,Material Shortage,16.9
2025-02-04,Line_4,C,Changeover,50.3
2025-02-05,Line_1,A,Operator Delay,59.0
2025-02-05,Line_1,B,Material Shortage,26.4
2025-02-05,Line_1,C,Maintenance,56.2
2025-02-05,Line_2,A,Quality Hold,24.4
2025-02-05,Line_2,B,Changeover,37.2
2025-02-05,Line_2,C,Changeover,59.6
2025-02-05,Line_3,A,Maintenance,43.3
2025-02-05,Line_3,B,Material Shortage,24.7
2025-02-05,Line_3,C,Material Shortage,32.7
2025-02-05,Line_4,A,Quality Hold,40.7
2025-02-05,Line_4,B,Quality Hold,0.0
2025-02-05,Line_4,C,Material Shortage,15.6
2025-02-06,Line_1,A,Maintenance,47.8
2025-02-06,Line_1,B,Material Shortage,27.5
2025-02-06,Line_1,C,Maintenance,0.0
2025-02-06,Line_2,A,Operator Delay,58.4
2025-02-06,Line_2,B,Material Shortage,12.0
2025-02-06,Line_2,C,Changeover,33.1
2025-02-06,Line_3,A,Changeover,46.2
2025-02-06,Line_3,B,Maintenance,55.2
2025-02-06,Line_3,C,Quality Hold,38.5
2025-02-06,Line_4,A,Material Shortage,15.1
2025-02-06,Line_4,B,Quality Hold,31.4
2025-02-06,Line_4,C,Quality Hold,61.2
2025-02-07,Line_1,A,Operator Delay,18.7
2025-02-07,Line_1,B,Maintenance,11.0
2025-02-07,Line_1,C,Maintenance,58.4
2025-02-07,Line_2,A,Material Shortage,23.1
2025-02-07,Line_2,B,Material Shortage,7.2
2025-02-07,Line_2,C,Changeover,38.0
2025-02-07,Line_3,A,Quality Hold,43.5
2025-02-07,Line_3,B,Quality Hold,33.1
2025-02-07,Line_3,C,Material Shortage,41.9
2025-02-07,Line_4,A,Changeover,49.9
2025-02-07,Line_4,B,Material Shortage,49.3
2025-02-07,Line_4,C,Operator Delay,11.6
2025-02-08,Line_1,A,Quality Hold,42.5
2025-02-08,Line_1,B,Maintenance,59.4
2025-02-08,Line_1,C,Maintenance,36.1
2025-02-08,Line_2,A,Operator Delay,54.8
2025-02-08,Line_2,B,Changeover,10.3
2025-02-08,Line_2,C,Changeover,21.3
2025-02-08,Line_3,A,Material Shortage,60.5
2025-02-08,Line_3,B,Operator Delay,40.2
2025-02-08,Line_3,C,Quality Hold,38.8
2025-02-08,Line_4,A,Changeover,48.8
2025-02-08,Line_4,B,Operator Delay,21.1
2025-02-08,Line_4,C,Changeover,45.1
2025-02-09,Line_1,A,Quality Hold,12.0
2025-02-09,Line_1,B,Quality Hold,54.2
2025-02-09,Line_1,C,Changeover,16.4
2025-02-09,Line_2,A,Material Shortage,19.7
2025-02-09,Line_2,B,Quality Hold,55.7
2025-02-09,Line_2,C,Maintenance,18.1
2025-02-09,Line_3,A,Material Shortage,46.3
2025-02-09,Line_3,B,Changeover,12.3
2025-02-09,Line_3,C,Material Shortage,7.7
2025-02-09,Line_4,A,Maintenance,16.9
2025-02-09,Line_4,B,Quality Hold,0.2
2025-02-09,Line_4,C,Quality Hold,37.9
2025-02-10,Line_1,A,Changeover,40.5
2025-02-10,Line_1,B,Quality Hold,35.0
2025-02-10,Line_1,C,Material Shortage,22.6
2025-02-10,Line_2,A,Operator Delay,48.8
2025-02-10,Line_2,B,Material Shortage,29.3
2025-02-10,Line_2,C,Changeover,26.0
2025-02-10,Line_3,A,Maintenance,51.4
2025-02-10,Line_3,B,Quality Hold,78.5
2025-02-10,Line_3,C,Quality Hold,9.0
2025-02-10,Line_4,A,Material Shortage,55.1
2025-02-10,Line_4,B,Material Shortage,23.0
2025-02-10,Line_4,C,Material Shortage,72.8
2025-02-11,Line_1,A,Maintenance,18.8
2025-02-11,Line_1,B,Material Shortage,47.7
2025-02-11,Line_1,C,Changeover,18.3
2025-02-11,Line_2,A,Changeover,34.7
2025-02-11,Line_2,B,Operator Delay,34.5
2025-02-11,Line_2,C,Changeover,51.3
2025-02-11,Line_3,A,Operator Delay,50.6
2025-02-11,Line_3,B,Changeover,25.9
2025-02-11,Line_3,C,Changeover,33.0
2025-02-11,Line_4,A,Maintenance,27.1
2025-02-11,Line_4,B,Quality Hold,25.6
2025-02-11,Line_4,C,Changeover,0.0
2025-02-12,Line_1,A,Changeover,33.5
2025-02-12,Line_1,B,Changeover,36.3
2025-02-12,Line_1,C,Material Shortage,38.2
2025-02-12,Line_2,A,Operator Delay,22.3
2025-02-12,Line_2,B,Maintenance,25.3
2025-02-12,Line_2,C,Changeover,36.1
2025-02-12,Line_3,A,Quality Hold,39.9
2025-02-12,Line_3,B,Maintenance,28.5
2025-02-12,Line_3,C,Maintenance,33.5
2025-02-12,Line_4,A,Material Shortage,42.6
2025-02-12,Line_4,B,Operator Delay,14.4
2025-02-12,Line_4,C,Quality Hold,25.6
2025-02-13,Line_1,A,Quality Hold,32.2
2025-02-13,Line_1,B,Quality Hold,44.5
2025-02-13,Line_1,C,Material Shortage,41.7
2025-02-13,Line_2,A,Material Shortage,29.8
2025-02-13,Line_2,B,Quality Hold,55.5
2025-02-13,Line_2,C,Changeover,32.6
2025-02-13,Line_3,A,Operator Delay,43.4
2025-02-13,Line_3,B,Operator Delay,45.5
2025-02-13,Line_3,C,Maintenance,7.5
2025-02-13,Line_4,A,Maintenance,10.8
2025-02-13,Line_4,B,Maintenance,20.1
2025-02-13,Line_4,C,Quality Hold,25.2
2025-02-14,Line_1,A,Changeover,66.4
2025-02-14,Line_1,B,Quality Hold,58.0
2025-02-14,Line_1,C,Quality Hold,7.1
2025-02-14,Line_2,A,Changeover,12.7
2025-02-14,Line_2,B,Quality Hold,11.1
2025-02-14,Line_2,C,Operator Delay,46.4
2025-02-14,Line_3,A,Operator Delay,7.2
2025-02-14,Line_3,B,Material Shortage,59.7
2025-02-14,Line_3,C,Material Shortage,8.0
2025-02-14,Line_4,A,Quality Hold,27.9
2025-02-14,Line_4,B,Changeover,31.4
2025-02-14,Line_4,C,Quality Hold,52.5
2025-02-15,Line_1,A,Operator Delay,22.4
2025-02-15,Line_1,B,Material Shortage,29.7
2025-02-15,Line_1,C,Changeover,46.4
2025-02-15,Line_2,A,Material Shortage,18.3
2025-02-15,Line_2,B,Quality Hold,35.3
2025-02-15,Line_2,C,Maintenance,16.2
2025-02-15,Line_3,A,Maintenance,45.6
2025-02-15,Line_3,B,Maintenance,50.2
2025-02-15,Line_3,C,Maintenance,63.4
2025-02-15,Line_4,A,Quality Hold,36.2
2025-02-15,Line_4,B,Quality Hold,46.1
2025-02-15,Line_4,C,Maintenance,33.1
2025-02-16,Line_1,A,Maintenance,22.0
2025-02-16,Line_1,B,Quality Hold,24.4
2025-02-16,Line_1,C,Operator Delay,61.1
2025-02-16,Line_2,A,Material Shortage,50.1
2025-02-16,Line_2,B,Changeover,41.3
2025-02-16,Line_2,C,Changeover,19.6
2025-02-16,Line_3,A,Maintenance,82.5
2025-02-16,Line_3,B,Operator Delay,20.0
2025-02-16,Line_3,C,Operator Delay,51.7
2025-02-16,Line_4,A,Changeover,14.0
2025-02-16,Line_4,B,Material Shortage,42.6
2025-02-16,Line_4,C,Material Shortage,59.5
2025-02-17,Line_1,A,Quality Hold,48.4
2025-02-17,Line_1,B,Maintenance,47.5
2025-02-17,Line_1,C,Changeover,28.1
2025-02-17,Line_2,A,Changeover,17.1
2025-02-17,Line_2,B,Quality Hold,50.7
2025-02-17,Line_2,C,Operator Delay,40.9
2025-02-17,Line_3,A,Maintenance,53.2
2025-02-17,Line_3,B,Maintenance,34.5
2025-02-17,Line_3,C,Quality Hold,38.0
2025-02-17,Line_4,A,Changeover,44.4
2025-02-17,Line_4,B,Quality Hold,31.3
